obs_id,lat,lon,label_class,evidence_type,source,mn_pct,notes
DEMO-B-010,21.978301283371362,80.18161892205559,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-011,21.885897324039433,79.93474329186952,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-012,22.00513580192583,80.19346759615911,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-013,21.539784772373952,79.96179732253722,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-014,22.012247183067224,80.21591152133593,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-015,21.78502207337574,80.07904403996257,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-016,21.683643017914193,79.92591714741324,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-017,21.588506152933586,80.00171337391724,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-018,21.59800280695911,80.45548336664093,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-019,21.659642687727903,80.37663278385806,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-020,21.975747222401427,80.20551642407311,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-021,22.067529562569323,80.11697675272336,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-022,21.641463916844653,80.22481190934616,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-023,21.58932090717568,80.4352556846893,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-024,21.67136314235232,80.32957946241316,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-025,21.542362363256068,80.31929715566925,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-026,21.542490799542765,80.23631569068118,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-027,21.84879563538023,80.11731945861841,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-028,21.542123872111166,80.00561733656343,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-029,21.554363225569237,80.40858854303698,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-030,21.648876272131083,79.98498232383672,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-031,21.751190814594324,80.35171705670906,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-032,21.568137267650158,80.26232215495907,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-033,21.534043353817015,80.10997389606433,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-034,21.78655802707996,80.43596302981541,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-035,21.94803587706055,80.14722145456122,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-036,21.56754171532124,80.24271379229464,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-037,21.93167298567121,80.14384919370748,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-038,21.903576991915276,80.02925199488351,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-039,21.54498448195149,80.37172202038813,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-040,21.6302932161236,79.93316358661917,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-041,21.647474893293982,79.99237052392,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-042,21.903989304702215,80.28272767610427,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-043,21.8323333978982,80.08005445465948,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-044,21.57883648852395,80.02289233094925,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-045,21.84916322024248,80.16388291616579,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-046,21.67951319548305,80.22618271797717,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-047,21.5414362650164,80.3590181647034,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-048,21.667863576299634,79.94292944510548,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-049,21.632546095879945,80.14012836003354,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-050,21.578478736857978,80.37069533693956,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-051,21.81437915882783,80.27135305365044,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-052,21.57705490166886,80.06041212414627,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-053,22.02707786648691,80.07502061312246,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-054,21.995586352050154,80.1433355157542,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-055,21.88337726637516,79.96188232989313,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-056,21.941130891683045,80.07917253520688,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-057,21.551523434243553,80.22654092896649,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-058,21.560407228844362,80.44902626084223,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-059,22.054534449846447,80.085376220379,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-060,21.81169894933219,80.08777190016971,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-061,21.82942113100663,80.15823110877034,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-062,21.901843136483954,79.9817299151255,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-063,22.062898686253295,79.95101995003478,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-064,21.95797469964295,80.25909973521777,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-065,21.87560070079166,79.963196007708,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-066,21.807198871242683,80.41856350016016,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-067,21.598028978581027,80.1579995713746,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-068,21.995198239021747,80.16418162906074,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-069,21.579512475081188,80.4367355223503,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-070,21.72387721475396,80.17542130502443,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-071,21.832255955196477,80.27421924797164,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-072,21.697293603561025,80.29219642615477,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-073,21.886288823317294,80.34076957518688,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-074,21.65341496895632,80.47826555513288,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-075,21.79390592110179,80.0689330367745,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-076,21.6613988884089,80.40990455586565,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-077,21.588730936338337,80.41634775499027,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-078,21.662376775154666,80.47378916439851,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-079,21.61462269306833,80.16006606628235,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-080,21.91508475216864,80.20619264023073,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-081,21.982648909090763,79.99726354508452,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-082,21.630582773664713,80.1779624737382,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-083,21.5531472260992,80.0348138380419,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-084,21.533585448976336,80.27498605679304,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-085,21.588047544128266,79.94230337174562,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-086,21.532659515539763,79.99509829158661,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-087,21.596058934336135,80.17657322547942,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-088,21.55695820162413,80.00118112822705,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-089,21.901595849692395,80.11673880636205,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-090,21.99623867969234,80.12659212935208,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-091,22.029828169548495,80.03743592658324,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-092,21.549322906227587,80.17668381649308,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-093,21.687762541721128,80.37809720826836,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-094,21.99113352141614,80.06067652888869,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-095,21.77794709977963,80.15666768196614,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-096,21.841433381297428,80.26288871826614,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-097,21.70548572494537,80.15761319579411,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-098,21.64997698195523,80.25169572140834,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-099,21.751488590040367,80.36128957947936,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-100,21.6785042279052,80.38906350056199,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-101,21.765620735272584,80.11770594429373,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-102,21.902667036446097,80.1573081499215,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-103,21.531694502551357,80.29120553705837,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-104,21.642661565423026,80.0482174952059,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-105,21.802939382827727,80.07893467021636,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-106,21.533627978821098,80.20619428600887,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-107,21.834105168167827,80.17249092017646,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-108,21.859243296656423,80.08702121135241,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-109,21.857911151546453,80.25970950441797,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-110,21.7671086906614,80.21672269733011,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-111,22.004749155487474,80.05102019547414,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-112,21.67877092400124,80.34810760223617,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-113,21.97244034698657,79.9505519708178,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-114,21.742237472953242,80.4465687625578,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-115,21.771322443772654,80.40773129252375,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-116,21.653158938391535,80.3392272587092,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-117,21.951880769010547,80.2449454003496,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-118,21.631620646504004,80.12079054060152,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-119,22.011836157112235,79.99920257960474,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-120,21.5684143914215,80.11866208617384,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-121,21.955212975721818,80.09874772377937,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-122,21.866885696810673,80.26383600633412,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-123,21.882408547190018,79.94256679581214,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-124,21.99222595349077,80.18401957641301,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-125,21.778366972443095,80.16615151229749,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-126,21.63140419067643,80.2852797871463,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-127,21.82473871179547,80.18764568181842,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-128,21.642648333237865,80.40849389344322,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-129,22.010772458681828,80.23060269993607,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-130,21.93983970365743,80.01141596058197,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-131,21.894275853813856,80.14689486697208,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-132,21.905403755844386,80.31037402122715,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-133,21.777783460453687,80.39093148486549,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-134,21.61337891720633,80.27210912487377,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-135,21.914187114407945,80.03031062109491,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-136,21.588270989655083,80.23462438541885,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-137,21.786064732229285,80.360350535404,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-138,21.6700244840493,80.34933075733753,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-139,21.606518169234953,80.3217791674296,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-140,21.840973338824607,80.10551874475694,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-141,21.990061150556876,79.90061918113055,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-142,21.929446897018053,79.99110938498079,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-143,21.64451402846493,80.43704362406723,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-144,21.807086194706024,80.3493161300556,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-145,21.593314774055727,79.97110353752312,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-146,21.5872441131577,80.08889636950865,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-147,21.749169595606475,80.44556397666858,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-148,21.752952205968032,80.45903541818375,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-149,22.00888306408772,80.00698234063815,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-150,22.008544085376705,79.94092960721295,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
