zone_id,ndvi_mean,ndvi_std,sar_vv_mean,sar_vh_mean,lst_mean,rain_mean
59,0.6384,0.0441,-9.37,-15.086,32.4416,938.4006
60,0.5995,0.0247,-10.0675,-15.5044,31.3447,924.5991
61,0.5658,0.0315,-9.6261,-16.2306,31.9516,928.4541
62,0.5989,0.0215,-10.5134,-16.5768,31.3052,932.486
63,0.5554,0.0205,-9.6007,-14.9903,30.1977,936.6717
64,0.5675,0.036,-10.1347,-16.5785,31.1376,940.9872
65,0.5658,0.0274,,-15.0421,,945.4082
66,0.5313,0.0311,-11.2667,-16.9,31.8531,949.9095
67,0.5958,0.0327,-10.0361,-15.8988,30.1602,954.466
68,0.5538,0.0507,-7.8775,-14.0419,31.1159,959.0522
69,0.5686,0.0441,-8.2999,-14.7931,30.413,963.6428
70,0.5823,0.0475,-7.8261,-12.9384,31.1686,968.2126
71,,0.0596,-7.6904,-13.3745,30.7695,972.7368
72,0.5779,0.0538,-8.1845,-14.0142,31.2203,977.1911
73,0.5409,0.0552,-9.0112,-15.2176,30.1166,981.5519
74,0.5212,0.0674,-9.4091,-15.3902,31.4642,985.7962
75,0.5282,0.073,-7.5972,-13.5148,31.1319,989.9021
76,0.4571,0.0665,-8.4038,-14.2038,31.1134,993.8485
77,,0.0725,-6.407,-12.0398,32.1994,997.6157
78,0.4585,0.0653,-8.6475,-15.0388,30.7999,1001.1848
79,0.4653,0.0675,-6.7371,-13.4704,31.2275,1004.5386
80,0.5154,0.0901,-8.4079,-14.3658,,1007.6611
81,0.4578,0.0892,-7.1879,-14.0615,31.104,1010.5375
82,0.4742,0.0921,-6.8811,-13.0429,32.2885,1013.1548
83,0.5372,,-9.0459,-15.3005,30.9567,1015.5015
84,0.4675,0.0923,-8.612,-14.3661,30.5342,1017.5672
85,0.5086,0.1023,-9.0542,-14.0629,31.9467,1019.3437
86,0.4399,0.1072,-9.2228,-16.1951,30.5832,1020.8238
87,0.468,0.1086,-7.7231,-12.586,29.7431,1022.0022
88,0.4381,0.098,-8.4386,-14.5551,30.1956,1022.875
89,0.4632,0.117,-8.2702,-14.0963,29.8225,1023.4398
90,0.512,0.1041,-7.9037,-14.6111,29.4182,1023.696
91,0.4117,0.1096,-9.8766,-15.3782,30.2065,1023.644
92,0.5015,0.1058,-7.4082,-13.3874,30.3078,1023.286
93,0.4977,0.1054,-8.768,-14.7988,30.9844,1022.6255
94,0.4693,0.0934,-8.1177,-15.0864,30.5818,1021.6671
95,0.4408,0.1102,-8.105,-14.0681,30.4855,1020.417
96,0.5078,0.1351,-7.5654,-13.1425,29.5345,1018.8824
97,0.4906,0.0955,-8.8082,-14.9263,30.5421,1017.0717
98,0.5284,0.0995,-10.4866,-15.8995,30.7932,1014.9944
99,0.5278,0.0918,-8.8059,-14.2395,30.1503,1012.6611
100,0.5991,0.0896,-8.7548,-15.0754,30.1311,1010.0831
101,0.5338,0.112,-9.8058,-15.0083,29.0926,1007.2727
102,0.511,0.0833,-8.9221,-14.8994,30.4688,1004.2432
103,0.5677,0.0834,-9.3885,-15.3637,30.9011,1001.0084
104,0.5779,0.0677,-10.2311,-16.1816,30.0354,997.5827
105,0.6318,0.0751,-8.6739,-14.6392,29.5071,993.9814
106,0.619,0.0611,-9.7127,-17.0278,29.8023,990.2201
107,0.6076,0.0866,-9.6336,-15.7263,29.6971,986.3149
108,0.6592,0.1099,-9.721,-16.403,,982.2824
109,0.5598,0.0692,-8.4005,-13.5873,30.481,978.1393
110,0.5879,0.051,,-14.6617,30.3529,973.903
111,0.5818,0.0792,-9.3868,-14.9608,30.8948,969.5908
112,0.6079,0.0571,-9.8254,-15.9447,30.636,965.2201
113,0.5721,0.079,-9.1203,-15.6243,30.0293,960.8088
114,0.6554,0.0577,-8.4236,-14.7523,30.3942,956.3744
115,0.6228,0.0514,-8.9919,-14.0206,30.5156,951.9348
116,0.5736,0.0548,-8.9629,-15.309,30.9108,947.5076
117,0.5915,0.0642,-9.0246,-16.2024,32.2787,943.1105
118,0.6433,0.0508,-10.6063,-16.0913,32.5623,938.7609
119,0.6617,0.0462,-10.1912,-15.4409,32.0858,934.4761
120,0.6635,0.031,-9.785,-14.9554,30.4672,929.9335
121,0.7031,0.0188,-10.1305,-15.6113,29.5959,933.7975
122,0.6048,0.0397,-10.326,-15.7253,30.5689,937.8101
123,0.5492,0.0148,-10.8933,-16.8668,29.9931,941.9487
124,0.503,0.0324,-10.3912,-17.4294,31.4807,946.19
125,0.5974,0.0487,-9.4358,-15.4219,29.5779,950.5105
126,0.5517,0.0452,-9.2017,-14.8909,30.8143,954.8861
127,0.5642,0.0509,-9.696,-15.7636,30.1028,959.2928
128,0.5521,0.0456,-8.9144,-15.0048,30.6659,963.7065
129,0.566,0.0631,-9.2421,-15.7241,31.1151,968.1034
130,,0.063,-7.9422,-14.443,31.3709,972.4598
131,0.5664,0.0602,-8.8665,-13.9474,30.761,976.7525
132,0.5474,0.0691,-8.1064,-13.1692,31.2904,980.9592
133,0.5057,0.0701,-8.4315,-14.4328,30.468,985.0579
134,0.4733,0.0591,-9.6513,-15.5105,31.0396,989.0275
135,0.5139,0.0515,-8.5432,-15.0336,31.5145,992.848
136,0.5244,0.0759,-9.4062,-15.0849,31.1269,996.5003
137,,0.0807,-8.4577,-13.5779,30.6177,999.9665
138,0.5187,0.0904,-8.9276,-15.6922,30.7683,1003.2296
139,0.5467,0.0692,-7.9932,-13.7613,31.538,1006.2742
140,0.4818,0.0725,-9.3473,-15.0778,30.2589,1009.086
141,0.4493,0.0917,-8.2437,-13.9799,30.3252,1011.6522
142,0.4537,0.088,-7.787,-12.9656,31.223,1013.9612
143,0.4595,0.0687,-7.5158,-12.4978,30.5617,1016.003
144,0.5705,0.0981,-8.8576,-14.9743,29.9097,1017.7689
145,0.4503,0.0734,-8.2435,-13.9069,31.5421,1019.2518
146,0.5152,0.0861,-8.1288,-14.0867,30.0162,1020.4458
147,0.4449,0.1152,-7.0635,-13.3795,30.4958,1021.3467
148,0.5185,0.1222,-9.5175,-15.3821,30.179,1021.9516
149,0.4978,0.0867,-9.0985,-14.7627,30.3042,1022.259
150,0.4781,0.098,-6.1685,-12.06,29.8819,1022.2688
151,0.4855,0.1029,-8.6779,-15.1185,30.77,1021.9822
152,0.4646,0.1239,-10.0237,-16.2555,30.3366,1021.4016
153,0.513,0.0965,-9.0322,-15.2602,30.7901,1020.531
154,0.4821,0.0962,-10.8395,-17.2607,29.7666,1019.3753
155,0.4571,0.1198,-8.4923,-14.3355,31.3476,1017.9406
156,0.4614,0.0957,-8.0995,-13.8905,28.8654,1016.2341
157,0.5264,0.1077,-9.54,-15.0503,29.0035,1014.2642
158,0.5901,0.0798,-9.2511,-15.6799,30.9599,1012.0402
159,0.5411,0.0937,-8.199,-14.4878,30.1542,1009.5721
160,0.538,0.074,-10.4007,-15.6234,30.0456,1006.8712
161,0.5624,0.0791,-10.1188,-16.2011,30.0809,1003.9493
162,0.6116,0.0996,-9.303,-15.2879,30.1574,1000.8191
163,0.5764,0.0865,-9.7786,-15.8662,29.9992,997.494
164,0.5594,0.0808,-9.4649,-14.8984,29.2571,993.9879
165,0.628,0.073,-10.2903,-15.7044,30.3582,990.3154
166,0.6085,0.0767,-9.1532,-14.5966,30.3082,986.4916
167,0.66,0.0803,-9.485,-15.4717,30.8274,982.5321
168,0.6126,0.0858,-8.9624,-15.3987,31.1018,978.453
169,0.5624,0.0398,-9.2727,-14.3101,30.3288,974.2706
170,0.562,0.0587,-9.2937,-14.8656,29.4953,970.0017
171,0.6873,0.068,-10.6369,-16.8652,31.4107,965.6631
172,0.694,0.0624,-9.1012,-14.3893,,961.2722
173,0.6207,0.0661,-9.7701,-16.0379,30.8203,956.8463
174,0.6144,0.0623,-9.6435,-14.9382,30.6171,952.4028
175,0.689,0.0534,-8.6713,-13.9322,30.6776,947.9595
176,0.5861,0.0488,-10.0802,-16.541,31.5696,943.5338
177,0.5933,0.0506,-8.4138,-14.1229,31.4416,939.1434
178,0.6524,0.0658,-8.3248,-13.9337,31.7943,934.8059
179,0.6074,0.042,-8.8597,-13.5523,31.1946,930.5386
180,0.5921,0.0331,-10.3436,-16.7147,30.1472,935.1341
181,0.5879,0.0369,-11.2337,-16.5174,29.8135,938.9701
182,0.609,0.0546,-8.5436,-14.5349,30.1863,942.9278
183,0.6516,0.0338,-9.2368,-15.8575,30.2708,946.9853
184,0.5978,0.0506,-9.8393,-15.8993,31.4896,951.1203
185,0.6177,0.0559,-8.2204,-14.2192,30.2718,955.31
186,0.5068,0.0426,-9.7643,-16.2938,29.199,959.5319
187,0.5829,0.0433,-9.3308,-15.1747,31.3595,963.7631
188,0.5464,0.0445,-8.4893,-14.0104,30.8403,967.981
189,0.526,0.0482,-9.7199,-15.6008,30.5394,972.1634
190,,0.0645,-8.8394,-15.1103,30.401,976.2882
191,0.5492,0.0601,-7.8069,-13.8811,30.1374,980.3342
192,0.5926,0.0633,-8.4401,-14.4423,31.9068,984.2805
193,0.496,0.0502,-7.5467,-13.438,30.8087,988.1071
194,0.5434,0.0554,-7.5789,-13.024,29.7631,991.7948
195,0.5158,0.096,-8.4268,-14.2908,31.0244,995.3254
196,,0.0714,-10.256,-16.9573,31.5668,998.6817
197,0.5618,0.0674,-9.2317,-15.5128,30.9452,1001.8474
198,0.537,0.097,-7.7039,-13.6209,30.3112,1004.8075
199,0.563,0.0862,-9.5297,-14.9676,30.2507,1007.5483
200,0.498,0.0927,-8.5331,-13.8842,30.2805,1010.057
201,0.4715,0.0868,-7.9908,-13.1035,31.7218,1012.3225
202,0.4862,0.0871,-7.0833,-13.0179,30.7363,1014.3346
203,0.5014,0.0912,-8.7236,-14.342,29.7355,1016.0847
204,0.496,0.0788,-8.7903,-15.5175,30.9299,1017.5654
205,0.4437,0.0962,-8.3364,-14.1214,30.7348,1018.7706
206,0.4896,0.1024,-8.0392,-14.5768,,1019.6956
207,0.4949,0.1224,-8.4751,-14.5064,29.9238,1020.337
208,,0.1022,-7.55,-12.035,29.8345,1020.6927
209,0.5629,0.074,-9.0717,-14.9199,31.0589,1020.7618
210,0.456,0.1013,-8.384,-14.8159,30.4876,1020.5447
211,0.4818,0.1355,-8.176,-13.9721,30.5578,1020.0431
212,0.4387,0.1129,-8.908,-15.1665,30.3495,1019.2597
213,0.4783,0.0924,-7.9746,-14.455,30.3328,1018.1985
214,0.5199,0.1085,-8.5881,-13.5365,29.7916,1016.8645
215,0.5615,0.0916,-8.1387,-13.6053,29.8896,1015.2637
216,,0.083,-8.6779,-14.5052,30.6578,1013.4034
217,0.5007,0.0936,-8.5958,-14.7917,30.7598,1011.2914
218,0.4484,0.0972,-9.4662,-15.6216,29.1375,1008.9368
219,0.5355,0.0718,-9.5272,-14.756,29.7142,1006.3495
220,0.5074,0.0784,-8.1037,-13.9504,30.3209,1003.5401
221,0.5368,0.0901,-8.6331,-16.1745,30.9354,1000.5199
222,0.5309,0.0826,-10.0154,-14.805,30.8756,997.3013
223,0.5702,0.0898,-9.1046,-15.013,29.3417,993.897
224,0.5114,0.0679,-11.1966,-17.025,30.6098,990.3204
225,0.5305,0.0883,-9.8009,-15.2576,29.919,986.5858
226,0.6815,0.0628,-8.6125,-14.3798,30.5635,982.7076
227,0.5514,0.094,-9.516,-15.1426,30.4769,978.701
228,0.565,0.051,-9.3511,-15.563,29.3268,974.5816
229,0.6877,0.0559,-11.8827,-18.4976,30.5106,970.3653
230,0.735,0.0714,-9.8022,-15.6621,30.8935,966.0685
231,0.5757,0.0838,-9.2311,-14.5153,30.401,961.7079
232,0.6107,0.0652,-9.1374,-15.4613,30.4013,957.3005
233,,0.066,-8.7422,-15.1062,,952.8634
234,0.6975,0.0573,-9.6776,-15.0671,31.2676,948.4142
235,0.5888,0.0429,-9.6342,-15.8628,31.1532,943.9704
236,0.6172,0.0476,-10.5549,-16.7602,30.6545,939.5496
237,0.6559,0.0375,-9.6359,-15.8225,31.2004,935.1696
238,0.6388,0.0354,-10.4607,-16.4932,31.6834,930.8481
239,0.6019,0.0545,-10.9052,-17.692,31.4556,926.6029
240,0.5951,0.021,-10.3638,-16.6334,30.1167,940.1487
241,0.5469,0.0394,-8.2116,-14.0964,29.0959,943.922
242,,0.0214,-9.5549,-15.4433,30.9929,947.7917
243,0.5907,0.0423,-9.0805,-14.5015,30.2355,951.7369
244,0.6088,0.0348,-9.5838,-14.6641,29.6133,955.7362
245,0.5744,0.0597,-10.5217,-15.7654,28.8471,959.7682
246,0.6118,0.0492,-8.257,-13.7997,30.9924,963.8116
247,0.629,0.0627,-10.6616,-16.736,30.7624,967.8451
248,0.5895,0.0416,-9.2877,-15.5993,30.6064,971.8476
249,0.5916,0.0543,-8.8105,-14.8015,31.0491,975.7985
250,0.5734,0.0449,,-14.2161,31.0959,979.6776
251,0.5647,0.0549,-9.2052,-14.7942,30.741,983.4651
252,0.5289,0.0599,-10.0301,-15.7185,30.5124,987.1422
253,0.5634,0.0577,-9.1417,-15.2023,30.4502,990.6906
254,0.5398,0.0551,-9.0471,-14.6536,30.9827,994.0929
255,0.6205,0.0559,-9.0202,-14.3898,31.5915,997.3327
256,0.5929,0.0481,-7.5862,-13.1461,30.7078,1000.3944
257,0.5388,0.0666,-9.3008,-15.3168,31.6642,1003.2637
258,0.4867,0.0898,-8.0641,-14.481,31.0035,1005.9271
259,0.4671,0.066,-8.1608,-14.5895,31.0015,1008.3724
260,0.554,0.0715,-7.5091,-13.8497,32.202,1010.5885
261,0.5124,0.112,-8.3815,-14.253,31.7287,1012.5654
262,,0.0853,-7.6471,-13.3872,,1014.2945
263,0.4251,0.0989,-8.4301,-15.1374,30.1931,1015.7682
264,0.5296,0.1047,-7.9641,-14.2161,31.9443,1016.9802
265,0.5091,0.1065,-9.54,-15.4183,30.531,1017.9253
266,0.4458,0.0817,-10.4805,-16.9303,30.3902,1018.5998
267,0.4715,0.0983,-8.106,-13.889,29.173,1019.0008
268,0.5019,0.0825,-8.1066,-14.2603,30.6029,1019.1269
269,0.4953,0.1318,-8.1194,-14.4811,29.6932,1018.9776
270,0.4842,0.0835,-8.9722,-14.9456,30.5229,1018.5536
271,0.4952,0.09,-7.4166,-13.2205,29.5154,1017.8569
272,0.4934,0.0898,-9.0353,-15.4595,31.2264,1016.8903
273,0.5145,0.0837,-8.3919,-14.5132,30.4162,1015.6577
274,0.5728,0.1169,-8.3157,-14.0819,31.394,1014.164
275,0.4174,0.1286,-7.4801,-13.8612,29.3576,1012.4152
276,0.5172,0.0924,-9.1726,-16.0015,,1010.4181
277,0.5408,0.0806,,-16.2731,28.7989,1008.1803
278,0.5529,0.0678,-10.243,-16.452,29.9714,1005.7106
279,0.5338,0.0896,-7.8629,-14.5221,29.4427,1003.0183
280,0.4862,0.0865,-8.8256,-14.9995,,1000.1135
281,0.5773,0.0801,-8.8553,-14.0228,29.4933,997.0073
282,0.641,0.0881,-6.7758,-13.4651,29.2625,993.7112
283,0.5182,0.0876,-9.0566,-15.1979,29.0761,990.2377
284,0.6214,0.084,,-15.3354,29.6002,986.5997
285,0.5806,0.0736,-9.5547,-15.3507,29.9826,982.8108
286,0.5978,0.0615,-10.2111,-16.3949,30.6725,978.8852
287,0.5641,0.08,-9.7759,-15.8543,30.2268,974.8376
288,0.5981,0.0694,-9.8037,-15.589,30.8389,970.6833
289,0.6681,0.0773,-9.9681,-15.1203,29.3554,966.4378
290,0.6431,0.0736,,-16.8899,30.0996,962.1174
291,0.692,0.0446,-8.2415,-14.6203,30.9162,957.7385
292,0.6718,0.0422,-9.2767,-15.9661,30.8384,953.318
293,0.6433,0.0482,-9.691,-15.6395,30.2705,948.8733
294,0.6955,0.0426,-8.8944,-15.5972,31.5134,944.4216
295,0.6422,0.0626,-9.1087,-15.3406,30.8097,939.9807
296,0.6557,0.0562,-9.2456,-15.7,30.8463,935.5685
297,0.6075,0.0638,-8.8947,-14.3576,31.7965,931.203
298,0.6177,0.0543,-9.3085,-15.5627,31.7055,926.9022
299,0.5817,0.0512,-8.8493,-14.6508,31.5899,922.6843
300,0.6478,0.0497,-8.8285,-15.6306,29.6541,944.9286
301,0.5617,0.0423,-9.2216,-15.1558,29.3847,948.6071
302,0.6397,0.0392,-9.4466,-16.0482,29.8337,952.3585
303,0.5992,0.058,-7.9631,-14.1759,30.7805,956.1631
304,0.6512,0.0438,-9.4864,-14.3808,30.3205,960.0008
305,0.6309,0.0411,-8.708,-14.2419,30.8047,963.8515
306,0.6694,0.0373,-8.608,-14.6722,30.5964,967.6954
307,0.6208,,-9.3469,-13.7474,29.9768,971.5127
308,0.5231,0.0679,-9.4284,-15.886,29.4113,975.2839
309,0.5771,0.0555,-8.9917,-14.4091,29.8993,978.9902
310,0.5264,0.0749,-9.0331,-15.7994,30.1043,982.6129
311,0.5457,0.0388,-9.7414,-15.8634,30.1057,986.1343
312,0.6198,0.0651,-9.0372,-15.7111,31.1864,989.5371
313,0.5777,,-8.2501,-14.1215,31.2175,992.8049
314,0.5171,0.0636,-7.404,-13.376,31.9934,995.9219
315,0.4975,0.1041,-7.9337,-14.0875,,998.8735
316,0.5326,0.0779,-10.4244,-15.8784,31.6662,1001.6457
317,0.4762,0.0769,-7.8068,-14.0903,31.672,1004.2258
318,0.4921,0.085,-8.7489,-14.5855,30.5796,1006.6018
319,0.5259,0.0634,-7.9301,-13.5198,30.997,1008.7629
320,0.5547,0.081,-8.3016,-15.0433,31.4433,1010.6993
321,0.5286,0.1043,-8.4497,-14.824,30.6419,1012.4023
322,0.409,0.0871,-8.39,-14.363,30.5666,1013.8642
323,0.5101,0.0867,-8.3458,-14.0307,30.2362,1015.0787
324,0.4988,0.1141,-7.2787,-12.568,29.1545,1016.0401
325,0.5112,0.1159,-8.4026,-14.5106,30.5651,1016.7442
326,,0.1071,-7.5571,-13.7153,30.0442,1017.1876
327,0.4123,0.0963,-7.7176,-14.1539,29.7683,1017.3683
328,0.4725,0.0995,-7.9847,-13.8197,30.6071,1017.2849
329,0.522,0.093,-10.0006,-16.1492,29.4212,1016.9374
330,0.438,0.0907,-7.7346,-13.8716,30.7129,1016.3267
331,0.5641,0.0898,-9.0537,-15.1007,30.4569,1015.4546
332,0.5242,0.0944,-8.1765,-13.9007,29.8655,1014.324
333,0.5484,0.0885,-9.5903,-15.8722,30.0092,1012.9387
334,0.4974,0.081,-9.8244,-16.2105,29.2783,1011.3034
335,0.559,0.101,-7.3593,-13.1434,30.3929,1009.4237
336,0.5758,0.0996,-9.7694,-17.2823,30.0117,1007.306
337,0.5494,0.1153,-8.1492,-14.451,30.0202,1004.9578
338,0.5567,0.0849,-9.0316,-15.6072,30.1366,1002.387
339,0.5656,0.0942,-9.5201,-14.9185,29.4319,999.6028
340,0.5277,0.0921,-9.2744,-15.4949,28.8982,996.6147
341,0.5639,0.0828,-10.3303,-16.6107,30.3876,993.4333
342,0.571,0.0921,-9.3472,-15.3715,30.2422,990.0697
343,0.5996,0.0898,-10.2446,-16.5422,29.5362,986.5358
344,0.631,0.0817,-9.7319,-15.9333,30.1445,982.8441
345,0.555,0.072,-8.7073,-14.6588,,979.0078
346,0.5982,,-9.2707,-15.4818,30.7069,975.0408
347,0.6677,0.0532,-10.6807,-16.8953,,970.9575
348,0.5833,0.0573,-8.8289,-15.334,,966.7727
349,0.5839,0.0569,-9.5252,-16.1021,29.5247,962.5022
350,0.6278,0.0484,-9.9569,-15.9266,30.2522,958.1618
351,0.6555,0.0648,-8.9239,-14.7706,31.4537,953.7681
352,0.6233,0.0717,-9.6476,-16.3617,30.2885,949.3379
353,0.6761,0.0445,-10.4338,-16.0538,30.5283,944.8887
354,0.6562,0.057,-8.0056,-13.6236,30.6868,940.438
355,0.6536,0.0396,,-14.9884,30.9179,936.0038
356,0.639,0.0469,-9.501,-15.3511,31.4182,931.6044
357,0.7058,0.0412,-9.7303,-15.4118,30.8514,927.2581
358,0.5992,0.0558,-8.4295,-13.337,32.4696,922.9835
359,0.521,0.0398,-9.7581,-15.9088,31.9351,918.7991
360,0.6794,0.0485,-10.6017,-17.1245,31.3604,949.4291
361,0.5969,0.035,-9.8278,-16.5948,29.2151,952.9835
362,0.6183,0.032,-8.1411,-13.2633,30.925,956.5895
363,0.6641,0.0269,-8.4538,-13.5694,30.8623,960.2287
364,0.5445,0.0473,-9.2407,-15.703,29.8401,963.8823
365,0.5545,0.0576,-7.8564,-14.2201,29.9117,967.5317
366,0.5357,0.0528,-8.2768,-14.4388,29.6586,971.1587
367,0.5625,0.0793,-9.0113,-14.3992,29.7277,974.7451
368,0.6058,0.0726,-8.8571,-15.5008,30.3341,978.273
369,0.6026,0.0549,-8.3915,-15.3748,30.4053,981.7254
370,0.5859,0.058,-9.2559,-14.1721,29.4863,985.0853
371,0.5112,0.0707,-8.5277,-14.3715,31.8743,988.3366
372,0.4681,0.0583,-8.2314,-14.0042,30.3877,991.4638
373,,0.0856,-9.7812,-15.8837,30.622,994.4521
374,0.5272,0.0792,-8.5433,-14.3104,30.2395,997.2875
375,0.5575,0.0812,-8.6018,-15.3589,30.4805,999.9568
376,0.5605,0.0894,-7.5118,-13.9323,30.4439,1002.4477
377,0.5317,0.1048,-9.7924,-15.7398,30.667,1004.7488
378,0.5508,0.089,-8.6122,-15.7477,30.6621,1006.8494
379,0.5243,0.0883,-8.6903,-14.8415,31.148,1008.74
380,0.5317,0.1102,-7.5422,-13.7243,30.7877,1010.412
381,0.4783,0.1059,-8.3579,-14.5093,31.0526,1011.8577
382,0.4961,0.0924,-6.9061,-13.1817,30.5956,1013.0704
383,0.5087,0.0981,,-14.3379,30.7049,1014.0442
384,0.532,0.1019,-8.731,-15.642,30.3798,1014.7746
385,0.4826,0.1051,-8.2502,-14.1778,31.0796,1015.2576
386,0.5192,0.0854,-8.7696,-14.9197,30.6197,1015.4904
387,0.4885,0.0838,-7.8482,-14.5358,30.2761,1015.4711
388,0.4961,,-9.655,-15.6238,30.2002,1015.1988
389,0.5365,0.0911,-9.3054,-15.4528,,1014.6733
390,0.4268,0.0947,-8.3419,-14.5724,30.2116,1013.8957
391,0.4586,0.1095,-7.788,-14.8665,30.1001,1012.8677
392,0.4558,0.099,-10.5939,-16.2525,29.741,1011.5919
393,0.427,0.1023,-7.7972,-14.4137,30.4808,1010.0719
394,0.499,0.0839,-9.0733,-15.0416,30.4685,1008.312
395,0.5623,0.0915,-10.532,-16.9361,30.9972,1006.3175
396,0.5276,0.1023,,-17.683,29.5267,1004.0945
397,0.5538,0.1004,-10.3711,-15.7949,30.2584,1001.6497
398,0.5966,0.0823,-9.2209,-14.9551,28.6917,998.991
399,0.6133,0.0906,,-14.7472,30.3231,996.1267
400,0.5646,0.1126,-8.8034,-14.6382,28.951,993.066
401,0.6287,0.0834,-9.7958,-15.5977,29.2452,989.819
402,0.5851,0.0726,-10.2841,-17.1746,30.0583,986.3964
403,0.5546,0.0761,-9.7644,-15.9232,29.5221,982.8096
404,0.5705,0.0765,-9.438,-15.5505,29.4895,979.0709
405,0.5408,0.0708,-9.3055,-14.6937,29.7167,975.1931
406,0.5697,0.0695,-10.1409,-16.394,30.5223,971.1897
407,0.5954,0.0499,-8.8019,-14.6695,29.6157,967.0751
408,0.6456,0.0531,-10.0278,-15.9149,30.2475,962.864
409,0.6852,0.0603,-10.2282,-15.6494,30.1708,958.5719
410,0.5632,0.0578,-9.9623,-16.0292,31.021,954.2149
411,0.6353,0.0508,-8.6589,-14.245,31.1812,949.8095
412,,0.0534,-9.6101,-16.4626,29.7264,945.3729
413,0.6379,0.0544,-10.0396,-16.8466,31.6204,940.9227
414,0.6118,0.0627,-8.7187,-15.8604,30.8023,936.4767
415,0.5408,0.0494,-7.7168,-13.3238,31.4945,932.0534
416,0.6471,0.0542,-9.231,-14.8942,30.9805,927.6715
