week_start,equipment_id,equipment_type,age_years,downtime_pct_8w,breakdowns_8w,c_downtime,c_breakdown,c_age,risk_score,risk_band,main_driver
2023-03-20,LDR-03,loader,13,13.9732,0.0,0.279,0.0,0.3467,0.6257,medium,machine age
2023-03-27,DMP-01,dumper,3,16.5982,2.0,0.3314,0.2,0.08,0.6114,medium,recent downtime
2023-03-27,DMP-02,dumper,8,10.7946,0.0,0.2155,0.0,0.2133,0.4289,low,recent downtime
2023-03-27,DMP-03,dumper,12,10.25,0.0,0.2047,0.0,0.32,0.5247,low,machine age
2023-03-27,DRL-01,drill,6,17.5536,1.0,0.3505,0.1,0.16,0.6105,medium,recent downtime
2023-03-27,DRL-02,drill,11,13.9286,0.0,0.2781,0.0,0.2933,0.5715,low,machine age
2023-03-27,LDR-01,loader,4,7.2768,0.0,0.1453,0.0,0.1067,0.252,low,recent downtime
2023-03-27,LDR-02,loader,9,10.3393,0.0,0.2065,0.0,0.24,0.4465,low,machine age
2023-03-27,LDR-03,loader,13,13.2589,0.0,0.2648,0.0,0.3467,0.6114,medium,machine age
2023-04-03,DMP-01,dumper,3,16.5893,2.0,0.3313,0.2,0.08,0.6113,medium,recent downtime
2023-04-03,DMP-02,dumper,8,9.8661,0.0,0.197,0.0,0.2133,0.4103,low,machine age
2023-04-03,DMP-03,dumper,12,12.2679,1.0,0.245,0.1,0.32,0.665,medium,machine age
2023-04-03,DRL-01,drill,6,17.8571,1.0,0.3566,0.1,0.16,0.6166,medium,recent downtime
2023-04-03,DRL-02,drill,11,14.7411,0.0,0.2943,0.0,0.2933,0.5877,low,recent downtime
2023-04-03,LDR-01,loader,4,6.8125,0.0,0.136,0.0,0.1067,0.2427,low,recent downtime
2023-04-03,LDR-02,loader,9,10.3304,0.0,0.2063,0.0,0.24,0.4463,low,machine age
2023-04-03,LDR-03,loader,13,14.1607,0.0,0.2828,0.0,0.3467,0.6294,medium,machine age
2023-04-10,DMP-01,dumper,3,17.8571,2.0,0.3566,0.2,0.08,0.6366,medium,recent downtime
2023-04-10,DMP-02,dumper,8,9.7946,0.0,0.1956,0.0,0.2133,0.4089,low,machine age
2023-04-10,DMP-03,dumper,12,13.0,1.0,0.2596,0.1,0.32,0.6796,medium,machine age
2023-04-10,DRL-01,drill,6,17.25,1.0,0.3444,0.1,0.16,0.6044,medium,recent downtime
2023-04-10,DRL-02,drill,11,13.0893,0.0,0.2614,0.0,0.2933,0.5547,low,machine age
2023-04-10,LDR-01,loader,4,7.25,0.0,0.1448,0.0,0.1067,0.2514,low,recent downtime
2023-04-10,LDR-02,loader,9,12.375,0.0,0.2471,0.0,0.24,0.4871,low,recent downtime
2023-04-10,LDR-03,loader,13,14.7768,0.0,0.2951,0.0,0.3467,0.6417,medium,machine age
2023-04-17,DMP-01,dumper,3,18.25,2.0,0.3644,0.2,0.08,0.6444,medium,recent downtime
2023-04-17,DMP-02,dumper,8,8.0714,0.0,0.1612,0.0,0.2133,0.3745,low,machine age
2023-04-17,DMP-03,dumper,12,11.1429,1.0,0.2225,0.1,0.32,0.6425,medium,machine age
2023-04-17,DRL-01,drill,6,17.4196,1.0,0.3478,0.1,0.16,0.6078,medium,recent downtime
2023-04-17,DRL-02,drill,11,12.2321,0.0,0.2443,0.0,0.2933,0.5376,low,machine age
2023-04-17,LDR-01,loader,4,6.8214,0.0,0.1362,0.0,0.1067,0.2429,low,recent downtime
2023-04-17,LDR-02,loader,9,12.4018,0.0,0.2476,0.0,0.24,0.4876,low,recent downtime
2023-04-17,LDR-03,loader,13,15.2143,0.0,0.3038,0.0,0.3467,0.6505,medium,machine age
2023-04-24,DMP-01,dumper,3,18.5357,2.0,0.3701,0.2,0.08,0.6501,medium,recent downtime
2023-04-24,DMP-02,dumper,8,8.1429,0.0,0.1626,0.0,0.2133,0.3759,low,machine age
2023-04-24,DMP-03,dumper,12,11.6607,1.0,0.2328,0.1,0.32,0.6528,medium,machine age
2023-04-24,DRL-01,drill,6,11.4375,0.0,0.2284,0.0,0.16,0.3884,low,recent downtime
2023-04-24,DRL-02,drill,11,11.8393,0.0,0.2364,0.0,0.2933,0.5297,low,machine age
2023-04-24,LDR-01,loader,4,7.0446,0.0,0.1407,0.0,0.1067,0.2473,low,recent downtime
2023-04-24,LDR-02,loader,9,12.9732,0.0,0.259,0.0,0.24,0.499,low,recent downtime
2023-04-24,LDR-03,loader,13,13.6964,0.0,0.2735,0.0,0.3467,0.6202,medium,machine age
2023-05-01,DMP-01,dumper,3,18.2054,2.0,0.3635,0.2,0.08,0.6435,medium,recent downtime
2023-05-01,DMP-02,dumper,8,7.3661,0.0,0.1471,0.0,0.2133,0.3604,low,machine age
2023-05-01,DMP-03,dumper,12,11.5893,1.0,0.2314,0.1,0.32,0.6514,medium,machine age
2023-05-01,DRL-01,drill,6,11.1786,0.0,0.2232,0.0,0.16,0.3832,low,recent downtime
2023-05-01,DRL-02,drill,11,12.9821,0.0,0.2592,0.0,0.2933,0.5526,low,machine age
2023-05-01,LDR-01,loader,4,6.6518,0.0,0.1328,0.0,0.1067,0.2395,low,recent downtime
2023-05-01,LDR-02,loader,9,13.3571,0.0,0.2667,0.0,0.24,0.5067,low,recent downtime
2023-05-01,LDR-03,loader,13,16.75,1.0,0.3345,0.1,0.3467,0.7811,high,machine age
2023-05-08,DMP-01,dumper,3,18.0357,2.0,0.3601,0.2,0.08,0.6401,medium,recent downtime
2023-05-08,DMP-02,dumper,8,9.3571,1.0,0.1868,0.1,0.2133,0.5002,low,machine age
2023-05-08,DMP-03,dumper,12,10.4464,1.0,0.2086,0.1,0.32,0.6286,medium,machine age
2023-05-08,DRL-01,drill,6,10.6161,0.0,0.212,0.0,0.16,0.372,low,recent downtime
2023-05-08,DRL-02,drill,11,11.8304,0.0,0.2362,0.0,0.2933,0.5296,low,machine age
2023-05-08,LDR-01,loader,4,6.0982,0.0,0.1218,0.0,0.1067,0.2284,low,recent downtime
2023-05-08,LDR-02,loader,9,14.1518,0.0,0.2826,0.0,0.24,0.5226,low,recent downtime
2023-05-08,LDR-03,loader,13,16.4018,1.0,0.3275,0.1,0.3467,0.7742,medium,machine age
2023-05-15,DMP-01,dumper,3,14.0357,1.0,0.2803,0.1,0.08,0.4603,low,recent downtime
2023-05-15,DMP-02,dumper,8,8.5268,1.0,0.1703,0.1,0.2133,0.4836,low,machine age
2023-05-15,DMP-03,dumper,12,10.3929,1.0,0.2075,0.1,0.32,0.6275,medium,machine age
2023-05-15,DRL-01,drill,6,10.2321,0.0,0.2043,0.0,0.16,0.3643,low,recent downtime
2023-05-15,DRL-02,drill,11,12.6607,0.0,0.2528,0.0,0.2933,0.5461,low,machine age
2023-05-15,LDR-01,loader,4,6.5714,0.0,0.1312,0.0,0.1067,0.2379,low,recent downtime
2023-05-15,LDR-02,loader,9,14.7857,0.0,0.2952,0.0,0.24,0.5352,low,recent downtime
2023-05-15,LDR-03,loader,13,15.4643,1.0,0.3088,0.1,0.3467,0.7555,medium,machine age
2023-05-22,DMP-01,dumper,3,7.5357,0.0,0.1505,0.0,0.08,0.2305,low,recent downtime
2023-05-22,DMP-02,dumper,8,8.0804,1.0,0.1613,0.1,0.2133,0.4747,low,machine age
2023-05-22,DMP-03,dumper,12,9.7679,1.0,0.195,0.1,0.32,0.615,medium,machine age
2023-05-22,DRL-01,drill,6,9.5179,0.0,0.1901,0.0,0.16,0.3501,low,recent downtime
2023-05-22,DRL-02,drill,11,11.8393,0.0,0.2364,0.0,0.2933,0.5297,low,machine age
2023-05-22,LDR-01,loader,4,7.2411,0.0,0.1446,0.0,0.1067,0.2513,low,recent downtime
2023-05-22,LDR-02,loader,9,12.3125,0.0,0.2459,0.0,0.24,0.4859,low,recent downtime
2023-05-22,LDR-03,loader,13,15.6964,1.0,0.3134,0.1,0.3467,0.7601,medium,machine age
2023-05-29,DMP-01,dumper,3,8.6964,0.0,0.1736,0.0,0.08,0.2536,low,recent downtime
2023-05-29,DMP-02,dumper,8,7.6696,1.0,0.1531,0.1,0.2133,0.4665,low,machine age
2023-05-29,DMP-03,dumper,12,7.4732,0.0,0.1492,0.0,0.32,0.4692,low,machine age
2023-05-29,DRL-01,drill,6,9.375,0.0,0.1872,0.0,0.16,0.3472,low,recent downtime
2023-05-29,DRL-02,drill,11,11.3571,0.0,0.2268,0.0,0.2933,0.5201,low,machine age
2023-05-29,LDR-01,loader,4,7.4821,0.0,0.1494,0.0,0.1067,0.2561,low,recent downtime
2023-05-29,LDR-02,loader,9,11.0357,0.0,0.2204,0.0,0.24,0.4604,low,machine age
2023-05-29,LDR-03,loader,13,14.7054,1.0,0.2936,0.1,0.3467,0.7403,medium,machine age
2023-06-05,DMP-01,dumper,3,8.4196,0.0,0.1681,0.0,0.08,0.2481,low,recent downtime
2023-06-05,DMP-02,dumper,8,7.6964,1.0,0.1537,0.1,0.2133,0.467,low,machine age
2023-06-05,DMP-03,dumper,12,6.8304,0.0,0.1364,0.0,0.32,0.4564,low,machine age
2023-06-05,DRL-01,drill,6,10.3571,0.0,0.2068,0.0,0.16,0.3668,low,recent downtime
2023-06-05,DRL-02,drill,11,11.6161,0.0,0.2319,0.0,0.2933,0.5253,low,machine age
2023-06-05,LDR-01,loader,4,7.0893,0.0,0.1416,0.0,0.1067,0.2482,low,recent downtime
2023-06-05,LDR-02,loader,9,10.0089,0.0,0.1999,0.0,0.24,0.4399,low,machine age
2023-06-05,LDR-03,loader,13,14.9821,1.0,0.2992,0.1,0.3467,0.7458,medium,machine age
2023-06-12,DMP-01,dumper,3,13.6161,1.0,0.2719,0.1,0.08,0.4519,low,recent downtime
2023-06-12,DMP-02,dumper,8,7.9554,1.0,0.1589,0.1,0.2133,0.4722,low,machine age
2023-06-12,DMP-03,dumper,12,8.5268,0.0,0.1703,0.0,0.32,0.4903,low,machine age
2023-06-12,DRL-01,drill,6,10.4107,0.0,0.2079,0.0,0.16,0.3679,low,recent downtime
2023-06-12,DRL-02,drill,11,13.4554,0.0,0.2687,0.0,0.2933,0.562,low,machine age
2023-06-12,LDR-01,loader,4,7.0804,0.0,0.1414,0.0,0.1067,0.248,low,recent downtime
2023-06-12,LDR-02,loader,9,11.6875,0.0,0.2334,0.0,0.24,0.4734,low,machine age
2023-06-12,LDR-03,loader,13,20.4018,2.0,0.4,0.2,0.3467,0.9467,high,recent downtime
2023-06-19,DMP-01,dumper,3,13.8839,1.0,0.2772,0.1,0.08,0.4572,low,recent downtime
2023-06-19,DMP-02,dumper,8,8.3661,1.0,0.1671,0.1,0.2133,0.4804,low,machine age
2023-06-19,DMP-03,dumper,12,9.1518,0.0,0.1827,0.0,0.32,0.5027,low,machine age
2023-06-19,DRL-01,drill,6,10.9107,0.0,0.2179,0.0,0.16,0.3779,low,recent downtime
2023-06-19,DRL-02,drill,11,14.0089,0.0,0.2797,0.0,0.2933,0.5731,low,machine age
2023-06-19,LDR-01,loader,4,7.9286,0.0,0.1583,0.0,0.1067,0.265,low,recent downtime
2023-06-19,LDR-02,loader,9,12.4643,0.0,0.2489,0.0,0.24,0.4889,low,recent downtime
2023-06-19,LDR-03,loader,13,21.3571,2.0,0.4,0.2,0.3467,0.9467,high,recent downtime
2023-06-26,DMP-01,dumper,3,14.4375,1.0,0.2883,0.1,0.08,0.4683,low,recent downtime
2023-06-26,DMP-02,dumper,8,10.3839,1.0,0.2073,0.1,0.2133,0.5207,low,machine age
2023-06-26,DMP-03,dumper,12,10.25,0.0,0.2047,0.0,0.32,0.5247,low,machine age
2023-06-26,DRL-01,drill,6,11.7679,0.0,0.235,0.0,0.16,0.395,low,recent downtime
2023-06-26,DRL-02,drill,11,14.6786,0.0,0.2931,0.0,0.2933,0.5864,low,machine age
2023-06-26,LDR-01,loader,4,9.0268,0.0,0.1802,0.0,0.1067,0.2869,low,recent downtime
2023-06-26,LDR-02,loader,9,13.2321,0.0,0.2642,0.0,0.24,0.5042,low,recent downtime
2023-06-26,LDR-03,loader,13,18.7232,1.0,0.3739,0.1,0.3467,0.8205,high,recent downtime
2023-07-03,DMP-01,dumper,3,14.8304,1.0,0.2961,0.1,0.08,0.4761,low,recent downtime
2023-07-03,DMP-02,dumper,8,9.3571,0.0,0.1868,0.0,0.2133,0.4002,low,machine age
2023-07-03,DMP-03,dumper,12,11.9821,0.0,0.2393,0.0,0.32,0.5593,low,machine age
2023-07-03,DRL-01,drill,6,12.6429,0.0,0.2525,0.0,0.16,0.4125,low,recent downtime
2023-07-03,DRL-02,drill,11,16.4286,0.0,0.328,0.0,0.2933,0.6214,medium,recent downtime
2023-07-03,LDR-01,loader,4,10.1339,0.0,0.2024,0.0,0.1067,0.309,low,recent downtime
2023-07-03,LDR-02,loader,9,15.9464,0.0,0.3184,0.0,0.24,0.5584,low,recent downtime
2023-07-03,LDR-03,loader,13,19.9643,2.0,0.3986,0.2,0.3467,0.9453,high,recent downtime
2023-07-10,DMP-01,dumper,3,15.7411,1.0,0.3143,0.1,0.08,0.4943,low,recent downtime
2023-07-10,DMP-02,dumper,8,10.7679,0.0,0.215,0.0,0.2133,0.4283,low,recent downtime
2023-07-10,DMP-03,dumper,12,13.5714,0.0,0.271,0.0,0.32,0.591,low,machine age
2023-07-10,DRL-01,drill,6,13.8571,0.0,0.2767,0.0,0.16,0.4367,low,recent downtime
2023-07-10,DRL-02,drill,11,16.7679,0.0,0.3348,0.0,0.2933,0.6282,medium,recent downtime
2023-07-10,LDR-01,loader,4,10.0536,0.0,0.2007,0.0,0.1067,0.3074,low,recent downtime
2023-07-10,LDR-02,loader,9,17.0625,0.0,0.3407,0.0,0.24,0.5807,low,recent downtime
2023-07-10,LDR-03,loader,13,21.3036,2.0,0.4,0.2,0.3467,0.9467,high,recent downtime
2023-07-17,DMP-01,dumper,3,16.6518,1.0,0.3325,0.1,0.08,0.5125,low,recent downtime
2023-07-17,DMP-02,dumper,8,11.7232,0.0,0.2341,0.0,0.2133,0.4474,low,recent downtime
2023-07-17,DMP-03,dumper,12,16.1964,0.0,0.3234,0.0,0.32,0.6434,medium,recent downtime
2023-07-17,DRL-01,drill,6,15.0714,0.0,0.3009,0.0,0.16,0.4609,low,recent downtime
2023-07-17,DRL-02,drill,11,16.5179,0.0,0.3298,0.0,0.2933,0.6232,medium,recent downtime
2023-07-17,LDR-01,loader,4,11.2857,0.0,0.2254,0.0,0.1067,0.332,low,recent downtime
2023-07-17,LDR-02,loader,9,17.4107,0.0,0.3477,0.0,0.24,0.5877,low,recent downtime
2023-07-17,LDR-03,loader,13,22.9911,2.0,0.4,0.2,0.3467,0.9467,high,recent downtime
2023-07-24,DMP-01,dumper,3,17.5446,1.0,0.3503,0.1,0.08,0.5303,low,recent downtime
2023-07-24,DMP-02,dumper,8,12.0179,0.0,0.24,0.0,0.2133,0.4533,low,recent downtime
2023-07-24,DMP-03,dumper,12,16.9643,0.0,0.3387,0.0,0.32,0.6587,medium,recent downtime
2023-07-24,DRL-01,drill,6,14.7679,0.0,0.2949,0.0,0.16,0.4549,low,recent downtime
2023-07-24,DRL-02,drill,11,17.2857,0.0,0.3452,0.0,0.2933,0.6385,medium,recent downtime
2023-07-24,LDR-01,loader,4,18.3393,1.0,0.3662,0.1,0.1067,0.5729,low,recent downtime
2023-07-24,LDR-02,loader,9,18.7054,0.0,0.3735,0.0,0.24,0.6135,medium,recent downtime
2023-07-24,LDR-03,loader,13,23.6339,2.0,0.4,0.2,0.3467,0.9467,high,recent downtime
2023-07-31,DMP-01,dumper,3,17.4464,1.0,0.3484,0.1,0.08,0.5284,low,recent downtime
2023-07-31,DMP-02,dumper,8,17.8214,1.0,0.3559,0.1,0.2133,0.6692,medium,recent downtime
2023-07-31,DMP-03,dumper,12,18.9018,0.0,0.3774,0.0,0.32,0.6974,medium,recent downtime
2023-07-31,DRL-01,drill,6,15.7411,0.0,0.3143,0.0,0.16,0.4743,low,recent downtime
2023-07-31,DRL-02,drill,11,18.8304,0.0,0.376,0.0,0.2933,0.6693,medium,recent downtime
2023-07-31,LDR-01,loader,4,19.1786,1.0,0.383,0.1,0.1067,0.5896,low,recent downtime
2023-07-31,LDR-02,loader,9,20.5804,0.0,0.4,0.0,0.24,0.64,medium,recent downtime
2023-07-31,LDR-03,loader,13,26.2679,2.0,0.4,0.2,0.3467,0.9467,high,recent downtime
2023-08-07,DMP-01,dumper,3,14.1071,0.0,0.2817,0.0,0.08,0.3617,low,recent downtime
2023-08-07,DMP-02,dumper,8,18.3661,1.0,0.3667,0.1,0.2133,0.6801,medium,recent downtime
2023-08-07,DMP-03,dumper,12,22.7589,1.0,0.4,0.1,0.32,0.82,high,recent downtime
2023-08-07,DRL-01,drill,6,16.1964,0.0,0.3234,0.0,0.16,0.4834,low,recent downtime
2023-08-07,DRL-02,drill,11,17.875,0.0,0.3569,0.0,0.2933,0.6503,medium,recent downtime
2023-08-07,LDR-01,loader,4,20.8125,1.0,0.4,0.1,0.1067,0.6067,medium,recent downtime
2023-08-07,LDR-02,loader,9,20.0089,0.0,0.3995,0.0,0.24,0.6395,medium,recent downtime
2023-08-07,LDR-03,loader,13,21.3929,1.0,0.4,0.1,0.3467,0.8467,high,recent downtime
2023-08-14,DMP-01,dumper,3,14.4375,0.0,0.2883,0.0,0.08,0.3683,low,recent downtime
2023-08-14,DMP-02,dumper,8,19.2321,1.0,0.384,0.1,0.2133,0.6974,medium,recent downtime
2023-08-14,DMP-03,dumper,12,22.4732,1.0,0.4,0.1,0.32,0.82,high,recent downtime
2023-08-14,DRL-01,drill,6,16.1696,0.0,0.3229,0.0,0.16,0.4829,low,recent downtime
2023-08-14,DRL-02,drill,11,17.8036,0.0,0.3555,0.0,0.2933,0.6488,medium,recent downtime
