week_start,rainfall_mm,planned_tonnes,actual_tonnes,shortfall_pct,shortfall_flag,fleet_downtime_pct,blast_delay_days
2025-02-10,0.0,21081.0,20569.0,2.43,0,12.0,0
2025-02-17,0.0,21081.0,21641.0,-2.66,0,9.63,0
2025-02-24,2.6785,21081.0,22349.0,-6.02,0,10.1,0
2025-03-03,0.397,21081.0,19824.0,5.96,0,14.71,0
2025-03-10,5.3491,21081.0,21927.0,-4.01,0,9.11,0
2025-03-17,3.9059,21081.0,21886.0,-3.82,0,11.71,0
2025-03-24,0.8532,21081.0,20541.0,2.56,0,19.43,0
2025-03-31,0.0017,21081.0,20123.0,4.54,0,19.74,0
2025-04-07,4.3972,21081.0,21984.0,-4.28,0,10.69,0
2025-04-14,2.6078,21081.0,23700.0,-12.43,0,11.61,0
2025-04-21,5.896,21081.0,21951.0,-4.13,0,15.76,0
2025-04-28,1.1788,21081.0,21008.0,0.35,0,15.16,0
2025-05-05,1.0005,21081.0,21790.0,-3.36,0,6.58,1
2025-05-12,2.8544,21081.0,21286.0,-0.97,0,16.13,0
2025-05-19,8.8018,21081.0,19822.0,5.97,0,14.98,2
2025-05-26,25.0363,21081.0,21041.0,0.19,0,13.96,0
2025-06-02,0.0,21081.0,22570.0,-7.06,0,10.99,1
2025-06-09,35.2769,21081.0,21161.0,-0.38,0,14.96,0
2025-06-16,6.1411,21081.0,21049.0,0.15,0,12.33,0
2025-06-23,89.4958,21081.0,18353.0,12.94,1,18.45,1
2025-06-30,115.2452,21081.0,16427.0,22.08,1,16.17,1
2025-07-07,132.9197,21081.0,12842.0,39.08,1,17.76,5
2025-07-14,111.5019,21081.0,15921.0,24.48,1,15.51,1
2025-07-21,151.1388,21081.0,14915.0,29.25,1,18.21,3
2025-07-28,96.0134,21081.0,16357.0,22.41,1,18.08,0
2025-08-04,43.9969,21081.0,19268.0,8.6,0,19.97,1
2025-08-11,112.7814,21081.0,16827.0,20.18,1,24.06,1
2025-08-18,150.8309,21081.0,15202.0,27.89,1,18.64,3
2025-08-25,73.312,21081.0,17065.0,19.05,1,18.28,3
2025-09-01,72.5934,21081.0,18583.0,11.85,1,14.34,1
2025-09-08,72.6272,21081.0,18203.0,13.65,1,14.05,1
2025-09-15,63.4789,21081.0,18952.0,10.1,1,15.13,1
2025-09-22,70.6089,21081.0,18084.0,14.22,1,16.21,0
2025-09-29,104.174,21081.0,16565.0,21.42,1,19.04,1
2025-10-06,3.0094,21081.0,20520.0,2.66,0,10.79,0
2025-10-13,0.0,21081.0,22566.0,-7.04,0,11.12,0
2025-10-20,0.0,21081.0,19999.0,5.13,0,20.5,0
2025-10-27,1.7898,21081.0,21413.0,-1.57,0,12.23,0
2025-11-03,0.0,21081.0,22768.0,-8.01,0,10.08,0
2025-11-10,0.0,21081.0,21729.0,-3.08,0,8.82,1
2025-11-17,2.6768,21081.0,20747.0,1.59,0,7.13,0
2025-11-24,5.6488,21081.0,20749.0,1.57,0,12.32,0
2025-12-01,5.6937,21081.0,20670.0,1.95,0,14.29,0
2025-12-08,0.0,21081.0,20746.0,1.59,0,12.04,1
2025-12-15,0.0,21081.0,22068.0,-4.68,0,13.93,0
2025-12-22,0.0,21081.0,22309.0,-5.83,0,11.64,0
