week_start,rainfall_mm,ndvi,sar_vv_db,lst_c
2024-03-04,0.0,0.4026,-10.4023,31.6004
2024-03-11,19.7164,0.3944,-9.6781,30.52
2024-03-18,13.9637,0.4065,-8.9433,32.4224
2024-03-25,0.7888,0.4146,-10.5474,34.1065
2024-04-01,0.5416,0.4164,-9.6157,33.1839
2024-04-08,30.943,0.441,-9.3179,35.1894
2024-04-15,5.7509,0.4656,-9.0201,35.0217
2024-04-22,0.6287,0.4712,-10.0411,34.854
2024-04-29,0.0,0.4407,-9.5855,37.9333
2024-05-06,0.0,0.3764,-9.1298,34.5244
2024-05-13,2.5471,0.3608,-10.7466,35.4918
2024-05-20,12.0335,0.3452,-9.7169,37.4144
2024-05-27,0.0,0.2944,-10.2773,41.4794
2024-06-03,9.0238,0.2824,-10.4019,40.0655
2024-06-10,18.2783,0.2904,-9.3768,39.2069
2024-06-17,67.3764,0.2669,-8.6279,38.3482
2024-06-24,69.3357,0.3309,-8.0568,33.7381
2024-07-01,66.0388,0.3631,-8.6224,32.5373
2024-07-08,50.8814,0.3954,-7.3578,31.3365
2024-07-15,121.8654,0.4276,-8.4401,30.1358
2024-07-22,163.9399,,-8.4657,28.8041
2024-07-29,160.5702,,-7.8144,27.4723
2024-08-05,98.9151,,-7.6074,26.1406
2024-08-12,64.5885,,-7.4004,24.8089
2024-08-19,120.0591,,-7.727,25.7147
2024-08-26,46.0138,0.6211,-8.1407,26.6204
2024-09-02,89.3129,0.6533,-7.3327,27.626
2024-09-09,94.4515,0.6856,-9.0242,26.2378
2024-09-16,20.9323,0.7178,-7.9227,28.5313
2024-09-23,66.0715,0.7242,-9.6348,28.4273
2024-09-30,5.7762,0.7305,-8.0424,28.3315
2024-10-07,16.0022,0.5241,-9.303,28.2357
2024-10-14,3.2579,0.5518,-9.8279,27.9198
2024-10-21,1.0698,0.513,-9.2079,29.0577
2024-10-28,0.0,0.4743,-10.1523,28.0385
2024-11-04,0.3415,0.3853,-9.157,28.0807
2024-11-11,0.1517,0.433,-9.8229,26.0301
2024-11-18,0.427,0.3949,-10.6363,24.8796
2024-11-25,3.1152,0.4185,-9.7887,25.5617
2024-12-02,1.2607,0.2537,-10.4721,26.2438
2024-12-09,0.0,0.4117,-9.8766,22.2892
2024-12-16,8.2279,0.4102,-11.029,23.7542
2024-12-23,3.5253,0.3646,-9.598,25.2832
2024-12-30,0.0,0.4462,-9.9974,22.9306
2025-01-06,9.1661,0.3616,-10.9676,21.1931
2025-01-13,2.0839,0.3891,-9.8417,24.9729
2025-01-20,0.4602,0.4165,-10.9734,25.3215
2025-01-27,0.0,0.3856,-10.0219,26.6793
2025-02-03,4.8102,0.3887,-10.5208,26.7831
2025-02-10,0.0,0.3735,-11.0228,26.8868
2025-02-17,0.0,0.3857,-9.9812,28.8879
2025-02-24,2.6785,0.3822,-10.8762,29.5039
2025-03-03,0.397,0.3834,-9.9507,31.4505
2025-03-10,5.3491,0.3628,-10.7901,32.3954
2025-03-17,3.9059,0.3591,-9.7858,33.8196
2025-03-24,0.8532,0.3557,-10.4056,33.1654
2025-03-31,0.0017,0.3551,-11.0941,33.8716
2025-04-07,4.3972,0.3598,-9.8742,34.5777
2025-04-14,2.6078,0.3559,-11.2261,36.2437
2025-04-21,5.896,0.3516,-10.108,36.2854
2025-04-28,1.1788,0.3583,-10.3142,34.1181
2025-05-05,1.0005,0.3309,-11.1851,37.993
2025-05-12,2.8544,0.316,-10.085,33.5656
2025-05-19,8.8018,0.3032,-10.7292,28.4268
2025-05-26,25.0363,0.2904,-8.8816,32.3585
2025-06-02,0.0,0.2954,-10.8725,36.2902
2025-06-09,35.2769,0.2974,-9.7044,37.0952
2025-06-16,6.1411,0.3221,-7.6248,35.2477
2025-06-23,89.4958,0.3468,-7.9106,33.4002
2025-06-30,115.2452,0.3714,-7.1663,31.5527
2025-07-07,132.9197,,-8.8946,29.7052
2025-07-14,111.5019,,-7.9742,28.4305
2025-07-21,151.1388,,-8.8918,27.1559
2025-07-28,96.0134,,-8.4604,25.8812
2025-08-04,43.9969,,-8.0244,25.9578
2025-08-11,112.7814,,-8.3281,26.3268
2025-08-18,150.8309,,-7.6897,24.5165
2025-08-25,73.312,,-8.4468,26.018
2025-09-01,72.5934,,-7.6466,26.0876
2025-09-08,72.6272,0.618,-8.3735,26.012
2025-09-15,63.4789,0.6427,-9.6165,26.6665
2025-09-22,70.6089,0.6673,-8.4295,27.321
2025-09-29,104.174,0.692,-8.3837,25.7339
2025-10-06,3.0094,0.7291,-8.3379,27.4162
2025-10-13,0.0,0.6379,-9.4701,27.2585
2025-10-20,0.0,0.5877,-9.1556,27.4629
2025-10-27,1.7898,0.5605,-7.9274,25.5848
2025-11-03,0.0,0.5334,-9.9847,22.8558
2025-11-10,0.0,0.493,-9.0457,22.6299
2025-11-17,2.6768,0.4268,-10.3646,22.4041
2025-11-24,5.6488,0.4577,-8.8663,22.217
2025-12-01,5.6937,0.3392,-10.0242,20.7726
2025-12-08,0.0,0.4425,-10.7415,20.8951
2025-12-15,0.0,0.4364,-9.6416,19.9951
2025-12-22,0.0,0.4308,-10.8227,18.5351
