elevation_m,lat,lon,lst_mean_c,ndvi_median,ndvi_std,rain_mm_per_year,sar_vh_mean_db,sar_vv_mean_db,slope_deg,zone_id,dist_to_mine_km
286.6756,21.655,80.235,30.578,0.3664,0.1161,1531.3442,-17.1163,-10.1051,2.0881,r00_c18,16.78
290.8696,21.655,80.245,30.4966,0.3965,0.1414,1531.3442,-16.9595,-9.7463,1.5096,r00_c19,17.095
292.4993,21.655,80.255,30.4698,0.3905,0.1508,1508.4375,-17.5287,-10.0297,1.077,r00_c20,17.465
291.4903,21.655,80.265,30.591,0.3629,0.1381,1508.2172,-17.3238,-9.7569,1.2223,r00_c21,17.888
288.4519,21.655,80.275,30.4133,0.4151,0.1293,1508.2172,-16.4048,-9.378,1.4026,r00_c22,18.359
286.7752,21.655,80.285,30.1399,0.3927,0.12,1508.2172,-17.0469,-9.8582,1.8598,r00_c23,18.875
292.4389,21.655,80.295,29.9799,0.3805,0.145,1508.2172,-16.7397,-9.6735,1.1594,r00_c24,19.432
294.0455,21.655,80.305,30.12,0.3319,0.1367,1528.0714,-17.1792,-9.9604,1.4706,r00_c25,20.027
297.0541,21.655,80.315,30.4504,0.3175,0.1229,1528.9019,-17.7083,-10.2644,1.6609,r00_c26,20.656
299.0819,21.655,80.325,30.6485,0.3149,0.1248,1528.9026,-18.0512,-10.6093,1.7137,r00_c27,21.317
300.0869,21.655,80.335,30.7162,0.3205,0.1289,1528.9021,-17.6446,-10.1331,1.6295,r00_c28,22.007
301.2,21.655,80.345,30.8061,0.314,0.1274,1529.5912,-18.3762,-10.7513,1.651,r00_c29,22.722
289.6858,21.665,80.055,30.7664,0.4055,0.1245,1473.0376,-17.0046,-9.7561,1.0376,r01_c00,20.489
287.9493,21.665,80.065,30.8388,0.3652,0.1183,1473.0376,-17.1507,-9.9675,1.3024,r01_c01,19.8
291.1602,21.665,80.075,30.8662,0.3732,0.1281,1473.0376,-17.0679,-9.8689,1.1008,r01_c02,19.143
292.5263,21.665,80.085,30.7426,0.388,0.1376,1473.0376,-16.9137,-9.8436,1.1745,r01_c03,18.519
294.691,21.665,80.095,30.5629,0.4214,0.1485,1473.0376,-17.0388,-9.9482,1.1987,r01_c04,17.934
299.9527,21.665,80.105,30.5508,0.4053,0.1318,1495.8044,-16.9452,-9.931,1.4896,r01_c05,17.39
299.1862,21.665,80.115,30.6512,0.4003,0.128,1495.9823,-16.7049,-9.8005,1.6099,r01_c06,16.892
299.7927,21.665,80.125,30.6201,0.4111,0.1314,1495.9823,-16.6674,-9.7099,1.3332,r01_c07,16.444
301.5471,21.665,80.135,30.7564,0.3703,0.1181,1495.9823,-17.13,-10.0243,1.4705,r01_c08,16.05
295.0227,21.665,80.145,30.9774,0.3954,0.1065,1495.9823,-17.1121,-10.0895,1.5932,r01_c09,15.714
289.7512,21.665,80.155,31.1525,0.3842,0.1168,1509.7419,-17.0741,-9.9349,1.3876,r01_c10,15.441
292.5033,21.665,80.165,31.0315,0.4091,0.1282,1510.2911,-16.5647,-9.3488,1.3729,r01_c11,15.232
289.1739,21.665,80.175,30.8343,0.4325,0.1117,1510.2911,-16.4797,-9.4158,1.3732,r01_c12,15.091
283.3496,21.665,80.185,30.7281,0.3523,0.1152,1510.2911,-18.7332,-11.4315,1.8734,r01_c13,15.02
283.0968,21.665,80.195,30.7951,0.4282,0.1423,1510.7073,-16.8939,-9.7253,1.0206,r01_c14,15.02
291.3631,21.665,80.205,30.9087,0.3392,0.1217,1530.3452,-17.6069,-10.1182,1.4136,r01_c15,15.091
291.1367,21.665,80.215,30.7988,0.414,0.1388,1530.3452,-16.7471,-9.5941,1.1013,r01_c16,15.232
291.282,21.665,80.225,30.5086,0.4241,0.1247,1530.3452,-16.4333,-9.4114,1.3048,r01_c17,15.441
290.7389,21.665,80.235,30.3791,0.3898,0.1227,1530.3452,-16.774,-9.5723,1.4819,r01_c18,15.714
286.7393,21.665,80.245,30.4987,0.3733,0.1082,1530.3452,-17.1746,-9.8823,1.9892,r01_c19,16.05
290.5115,21.665,80.255,30.6505,0.3773,0.1116,1507.9202,-16.7613,-9.2393,1.6428,r01_c20,16.444
292.7045,21.665,80.265,30.7665,0.3609,0.1354,1507.7052,-17.4196,-9.7827,1.3146,r01_c21,16.892
290.0059,21.665,80.275,30.5769,0.3838,0.1277,1507.7052,-16.6898,-9.5821,1.3687,r01_c22,17.39
288.46,21.665,80.285,30.3227,0.3538,0.119,1507.7052,-17.1949,-9.5464,1.6852,r01_c23,17.934
290.1136,21.665,80.295,30.3548,0.382,0.1163,1507.7052,-16.5929,-9.3753,1.5519,r01_c24,18.519
293.9546,21.665,80.305,30.4262,0.3451,0.1255,1527.3668,-16.8455,-9.7744,1.413,r01_c25,19.143
296.371,21.665,80.315,30.3969,0.3393,0.1499,1528.1895,-17.0746,-9.8471,1.1359,r01_c26,19.8
296.9919,21.665,80.325,30.3796,0.3407,0.1366,1528.1895,-17.0888,-9.7318,1.2816,r01_c27,20.489
298.6083,21.665,80.335,30.652,0.3008,0.1147,1528.1895,-17.8946,-10.2962,1.6428,r01_c28,21.205
300.9095,21.665,80.345,30.947,0.3307,0.1229,1528.8982,-18.2378,-10.701,1.7038,r01_c29,21.947
292.8875,21.675,80.055,30.873,0.3857,0.128,1473.0376,-16.7504,-9.6791,0.9983,r02_c00,19.688
295.4934,21.675,80.065,30.8127,0.3908,0.1204,1473.0376,-16.6309,-9.5672,1.409,r02_c01,18.971
292.273,21.675,80.075,30.7503,0.3902,0.129,1473.0376,-16.7434,-9.668,1.1759,r02_c02,18.283
293.2322,21.675,80.085,30.6573,0.3996,0.1351,1473.0376,-17.154,-10.0366,1.0911,r02_c03,17.63
297.2508,21.675,80.095,30.5627,0.3885,0.1292,1473.0376,-16.9757,-9.7056,1.195,r02_c04,17.014
310.4042,21.675,80.105,30.6515,0.4066,0.1235,1495.805,-17.4359,-10.5102,3.6825,r02_c05,16.44
313.3367,21.675,80.115,30.7937,0.3637,0.1182,1495.9823,-17.4213,-10.081,3.8491,r02_c06,15.912
301.209,21.675,80.125,30.7798,0.3856,0.1369,1495.9823,-16.8662,-9.7287,1.1113,r02_c07,15.436
295.7578,21.675,80.135,30.8081,0.401,0.1451,1495.9823,-16.9393,-9.9605,1.3173,r02_c08,15.015
291.0985,21.675,80.145,30.9552,0.3999,0.1332,1495.9823,-17.0141,-9.8782,1.2145,r02_c09,14.656
292.2308,21.675,80.155,31.132,0.4107,0.1408,1509.7415,-16.887,-9.7081,1.1481,r02_c10,14.362
295.8021,21.675,80.165,31.2111,0.3915,0.1415,1510.2911,-16.9121,-9.4798,1.0408,r02_c11,14.137
288.3783,21.675,80.175,31.2084,0.4185,0.1195,1510.2911,-16.5519,-9.5215,1.4729,r02_c12,13.985
283.7291,21.675,80.185,31.1141,0.3535,0.1095,1510.2911,-18.9848,-11.422,2.0722,r02_c13,13.909
286.3791,21.675,80.195,30.9845,0.4247,0.126,1510.7069,-16.7345,-9.694,1.3502,r02_c14,13.909
292.6018,21.675,80.205,31.0121,0.3978,0.1356,1530.3452,-16.7021,-9.1869,1.2846,r02_c15,13.985
293.4643,21.675,80.215,30.8782,0.3954,0.1373,1530.3452,-17.0651,-9.6068,1.1405,r02_c16,14.137
293.0997,21.675,80.225,30.5139,0.4185,0.132,1530.3452,-16.8601,-9.8154,1.1043,r02_c17,14.362
292.6421,21.675,80.235,30.1173,0.3861,0.1408,1530.3452,-17.2995,-9.9804,1.0806,r02_c18,14.656
290.1275,21.675,80.245,30.0407,0.4331,0.1247,1530.3452,-16.314,-9.2478,1.5858,r02_c19,15.015
288.4212,21.675,80.255,30.2794,0.3891,0.1131,1507.9197,-17.2651,-10.0627,2.0093,r02_c20,15.436
293.0839,21.675,80.265,30.5344,0.3672,0.1405,1507.7052,-17.1552,-9.7777,1.3931,r02_c21,15.912
292.0035,21.675,80.275,30.4791,0.3631,0.1434,1507.7052,-16.9905,-9.8475,1.4784,r02_c22,16.44
289.7196,21.675,80.285,30.3693,0.3771,0.1324,1507.7052,-17.0947,-9.9722,1.719,r02_c23,17.014
288.0937,21.675,80.295,30.4907,0.3331,0.1167,1507.7052,-17.7234,-10.6625,1.8765,r02_c24,17.63
290.7692,21.675,80.305,30.589,0.355,0.1107,1527.3669,-16.9986,-9.8608,1.5376,r02_c25,18.283
294.1618,21.675,80.315,30.4849,0.3359,0.1173,1528.1895,-16.8949,-9.4692,1.5446,r02_c26,18.971
291.5733,21.675,80.325,30.4821,0.367,0.1036,1528.1895,-16.8809,-9.8429,1.402,r02_c27,19.688
296.6731,21.675,80.335,30.5449,0.3598,0.1206,1528.1895,-16.9114,-9.793,1.3324,r02_c28,20.433
298.415,21.675,80.345,30.529,0.3512,0.1291,1528.8975,-16.7958,-9.6864,1.4173,r02_c29,21.201
297.4891,21.685,80.055,30.7262,0.3839,0.1332,1473.0376,-16.9524,-9.7646,1.3156,r03_c00,18.919
297.0906,21.685,80.065,30.7102,0.3864,0.1334,1473.0376,-16.8566,-9.8924,1.0942,r03_c01,18.171
298.025,21.685,80.075,30.7199,0.3666,0.1276,1473.0376,-17.2343,-10.1849,1.3771,r03_c02,17.453
295.0502,21.685,80.085,30.7235,0.3756,0.1361,1473.0376,-16.9876,-9.8428,1.0577,r03_c03,16.767
299.6955,21.685,80.095,30.6897,0.3771,0.1284,1473.0376,-17.1467,-10.1807,1.6608,r03_c04,16.118
305.6712,21.685,80.105,30.7471,0.3747,0.1164,1495.8044,-17.136,-10.0252,1.3988,r03_c05,15.511
302.475,21.685,80.115,30.8235,0.3806,0.1369,1495.9823,-17.0822,-9.9771,1.2317,r03_c06,14.951
298.0792,21.685,80.125,30.8653,0.401,0.1427,1495.9823,-17.0148,-9.8218,1.0128,r03_c07,14.443
294.8577,21.685,80.135,30.901,0.414,0.1523,1495.9823,-16.9679,-9.9887,1.1199,r03_c08,13.992
293.1549,21.685,80.145,31.0553,0.369,0.1374,1495.9823,-17.4219,-10.2449,1.2327,r03_c09,13.606
296.454,21.685,80.155,31.2399,0.3865,0.1547,1509.7419,-17.242,-9.9338,1.0652,r03_c10,13.289
297.2497,21.685,80.165,31.444,0.3682,0.1552,1510.2911,-17.217,-9.7975,0.9802,r03_c11,13.046
290.7035,21.685,80.175,31.6516,0.3819,0.1312,1510.2911,-16.8641,-9.4775,1.474,r03_c12,12.881
283.6761,21.685,80.185,31.5554,0.2922,0.1086,1510.2911,-19.5101,-11.9851,2.1815,r03_c13,12.798
291.5662,21.685,80.195,31.1958,0.4052,0.1222,1510.7073,-16.6235,-9.6452,1.2947,r03_c14,12.798
294.7151,21.685,80.205,31.041,0.3853,0.1349,1530.3452,-17.0968,-9.5199,1.0415,r03_c15,12.881
294.9637,21.685,80.215,30.9262,0.3855,0.1549,1530.3452,-17.4583,-9.8422,0.9665,r03_c16,13.046
294.6579,21.685,80.225,30.688,0.3797,0.1419,1530.3452,-17.2699,-9.8217,1.0661,r03_c17,13.289
293.285,21.685,80.235,30.1372,0.3773,0.1644,1530.3452,-17.6338,-10.4398,0.9651,r03_c18,13.606
291.2766,21.685,80.245,29.8743,0.4237,0.1243,1530.3452,-16.3004,-9.2564,1.4128,r03_c19,13.992
289.9991,21.685,80.255,30.022,0.4183,0.1317,1507.9202,-16.7,-9.5623,1.6635,r03_c20,14.443
292.8671,21.685,80.265,30.2213,0.3832,0.1373,1507.7052,-17.0636,-9.8814,1.2907,r03_c21,14.951
293.9565,21.685,80.275,30.3537,0.339,0.1349,1507.7052,-17.2646,-9.793,1.6464,r03_c22,15.511
293.5917,21.685,80.285,30.4172,0.3569,0.1381,1507.7052,-17.2588,-9.9041,1.2974,r03_c23,16.118
291.5111,21.685,80.295,30.4799,0.3677,0.1205,1507.7052,-16.5608,-9.3569,1.6203,r03_c24,16.767
288.2881,21.685,80.305,30.5122,0.3736,0.1136,1527.3668,-17.2445,-10.111,1.5592,r03_c25,17.453
289.3782,21.685,80.315,30.5567,0.3613,0.1127,1528.1895,-17.237,-10.0913,1.7131,r03_c26,18.171
290.0308,21.685,80.325,30.6013,0.3539,0.1177,1528.1895,-17.4528,-10.1565,1.6917,r03_c27,18.919
293.1008,21.685,80.335,30.5342,0.3626,0.1269,1528.1895,-17.0925,-9.846,1.6193,r03_c28,19.693
300.4494,21.685,80.345,30.3667,0.3401,0.1307,1528.8982,-16.8795,-9.6127,1.2832,r03_c29,20.489
300.0911,21.695,80.055,30.5338,0.4047,0.1299,1473.0125,-16.9795,-9.9459,1.3174,r04_c00,18.186
301.8639,21.695,80.065,30.5009,0.3849,0.1344,1473.0126,-16.9053,-9.8315,1.1751,r04_c01,17.407
301.5421,21.695,80.075,30.6515,0.3635,0.1311,1473.0126,-17.372,-10.4492,1.2124,r04_c02,16.655
296.979,21.695,80.085,30.7713,0.3552,0.1374,1473.0126,-17.8283,-10.643,1.1575,r04_c03,15.935
301.1597,21.695,80.095,30.8646,0.3621,0.1358,1473.0126,-17.4839,-10.2587,1.4945,r04_c04,15.251
305.7071,21.695,80.105,30.9514,0.3627,0.1319,1496.575,-16.9668,-9.6539,1.1837,r04_c05,14.608
299.8163,21.695,80.115,30.9473,0.3835,0.1492,1496.7587,-17.1934,-10.1739,1.0514,r04_c06,14.011
298.3418,21.695,80.125,30.8554,0.3924,0.1435,1496.7589,-16.8687,-9.7754,1.0537,r04_c07,13.468
298.1887,21.695,80.135,30.9551,0.3833,0.1383,1496.7595,-16.9339,-9.7227,1.3095,r04_c08,12.984
298.8823,21.695,80.145,31.0899,0.3759,0.1383,1496.7595,-16.8676,-9.6442,1.0239,r04_c09,12.567
299.8166,21.695,80.155,31.1738,0.3648,0.1512,1510.0536,-17.239,-10.0428,0.9466,r04_c10,12.222
296.3991,21.695,80.165,31.413,0.3621,0.1562,1510.5839,-17.3243,-9.9113,0.898,r04_c11,11.958
292.4476,21.695,80.175,31.6953,0.3639,0.1291,1510.5838,-17.3218,-9.8757,1.5131,r04_c12,11.778
284.1111,21.695,80.185,31.4421,0.3438,0.1031,1510.5839,-19.2049,-12.077,2.3656,r04_c13,11.687
289.4458,21.695,80.195,31.1233,0.356,0.1126,1510.9989,-17.9901,-10.6361,1.6403,r04_c14,11.687
295.4737,21.695,80.205,30.8833,0.3891,0.1411,1530.5799,-16.9962,-9.5302,1.0484,r04_c15,11.778
295.7792,21.695,80.215,30.5926,0.4099,0.159,1530.5799,-17.4874,-10.0133,0.853,r04_c16,11.958
294.9322,21.695,80.225,30.2435,0.392,0.1469,1530.5799,-17.37,-9.9926,1.0775,r04_c17,12.222
293.7084,21.695,80.235,29.7968,0.3849,0.1646,1530.5801,-17.9452,-10.4522,0.8833,r04_c18,12.567
291.4651,21.695,80.245,29.7801,0.3987,0.1292,1530.5801,-17.1442,-9.7701,1.6958,r04_c19,12.984
289.6486,21.695,80.255,30.1335,0.4184,0.1267,1507.8411,-16.8357,-9.8221,1.738,r04_c20,13.468
294.3636,21.695,80.265,30.3108,0.3761,0.1407,1507.6223,-17.0477,-9.9224,1.4826,r04_c21,14.011
293.8367,21.695,80.275,30.3224,0.4318,0.145,1507.6223,-17.7919,-10.4065,1.4144,r04_c22,14.608
297.4341,21.695,80.285,30.4629,0.3262,0.1303,1507.6223,-17.8581,-10.2443,2.3024,r04_c23,15.251
294.3186,21.695,80.295,30.5911,0.3414,0.1263,1507.6224,-17.3516,-10.1092,2.2751,r04_c24,15.935
293.1533,21.695,80.305,30.5245,0.3838,0.1173,1527.4413,-16.6632,-9.4983,1.5565,r04_c25,16.655
292.2006,21.695,80.315,30.536,0.4089,0.1115,1528.2705,-16.4727,-9.4636,1.9325,r04_c26,17.407
295.8719,21.695,80.325,30.5452,0.367,0.1206,1528.2705,-16.5954,-9.4434,1.5363,r04_c27,18.186
292.1534,21.695,80.335,30.6343,0.3176,0.1083,1528.2705,-18.0224,-10.4579,1.6558,r04_c28,18.989
292.8475,21.695,80.345,30.5802,0.3691,0.1268,1528.9769,-17.4871,-10.4243,1.5937,r04_c29,19.814
301.5485,21.705,80.055,30.4661,0.3823,0.1342,1472.1915,-16.7536,-9.6072,1.0513,r05_c00,17.492
303.7385,21.705,80.065,30.3305,0.3814,0.122,1472.1915,-16.8512,-9.8257,1.2115,r05_c01,16.681
306.8268,21.705,80.075,30.3933,0.4518,0.1169,1472.1915,-16.3564,-9.5261,1.2276,r05_c02,15.895
312.554,21.705,80.085,30.4067,0.4588,0.1282,1472.1915,-16.1303,-9.4028,3.4771,r05_c03,15.139
304.4526,21.705,80.095,30.6855,0.3486,0.1239,1472.1915,-17.5887,-10.7305,1.6935,r05_c04,14.417
305.4818,21.705,80.105,30.9279,0.3543,0.1433,1521.8665,-17.4792,-10.2678,1.0989,r05_c05,13.735
305.3189,21.705,80.115,30.9635,0.366,0.1431,1522.2547,-17.1524,-9.9344,1.0626,r05_c06,13.099
304.7544,21.705,80.125,30.9676,0.3825,0.1356,1522.2547,-16.8786,-9.7078,1.1736,r05_c07,12.516
302.02,21.705,80.135,31.0968,0.3678,0.141,1522.2547,-17.0526,-9.7318,1.1605,r05_c08,11.994
303.9803,21.705,80.145,31.1127,0.3666,0.1362,1522.2547,-17.0328,-9.7752,1.1692,r05_c09,11.541
299.2261,21.705,80.155,31.0801,0.3723,0.1302,1520.2769,-16.6488,-9.2824,1.2099,r05_c10,11.165
294.2723,21.705,80.165,31.1429,0.3578,0.122,1520.1979,-16.9678,-9.526,1.3633,r05_c11,10.874
290.4008,21.705,80.175,30.9913,0.366,0.1146,1520.1979,-17.0772,-9.9528,1.9937,r05_c12,10.677
287.1701,21.705,80.185,30.4921,0.4081,0.1186,1520.1979,-16.6461,-9.6367,1.9027,r05_c13,10.576
289.4175,21.705,80.195,30.2437,0.4205,0.1178,1520.5733,-16.1078,-9.1022,1.433,r05_c14,10.576
294.5211,21.705,80.205,30.1405,0.3928,0.1253,1538.2848,-16.7319,-9.2175,1.0987,r05_c15,10.677
295.692,21.705,80.215,29.9521,0.3975,0.1493,1538.2848,-17.2855,-10.1125,0.9753,r05_c16,10.874
296.901,21.705,80.225,29.8184,0.3744,0.1453,1538.2848,-17.1206,-9.8216,0.9769,r05_c17,11.165
294.155,21.705,80.235,29.6891,0.4057,0.1294,1538.2848,-16.7178,-9.5724,1.1578,r05_c18,11.541
290.7875,21.705,80.245,29.8256,0.4276,0.1215,1538.2848,-16.4768,-9.4335,1.5978,r05_c19,11.994
292.2484,21.705,80.255,30.2463,0.4325,0.1187,1505.2195,-16.3105,-9.2467,1.5051,r05_c20,12.516
296.7301,21.705,80.265,30.4403,0.3441,0.1262,1504.9024,-17.2569,-9.709,1.5745,r05_c21,13.099
296.4931,21.705,80.275,30.5263,0.3618,0.1393,1504.9024,-17.1544,-9.8304,1.4915,r05_c22,13.735
298.2569,21.705,80.285,30.6026,0.351,0.1211,1504.9024,-17.2861,-9.8909,1.4783,r05_c23,14.417
296.624,21.705,80.295,30.5485,0.3546,0.1396,1504.9024,-17.3559,-9.7231,1.4486,r05_c24,15.139
294.4306,21.705,80.305,30.4597,0.4186,0.1198,1529.8822,-16.3914,-9.3051,1.6063,r05_c25,15.895
296.5177,21.705,80.315,30.3616,0.393,0.1218,1530.9282,-16.5464,-9.4029,1.7287,r05_c26,16.681
298.3178,21.705,80.325,30.4638,0.3724,0.1183,1530.9282,-16.7119,-9.5362,1.5425,r05_c27,17.492
299.8984,21.705,80.335,30.5138,0.3644,0.1334,1530.9282,-16.4968,-9.3266,1.5199,r05_c28,18.326
300.1202,21.705,80.345,30.4002,0.3692,0.1238,1531.5607,-16.6396,-9.4302,1.3834,r05_c29,19.179
297.5724,21.715,80.055,30.2919,0.3937,0.1195,1472.1915,-16.433,-9.1892,1.5348,r06_c00,16.844
301.8071,21.715,80.065,30.2568,0.3717,0.1115,1472.1915,-17.1548,-10.113,1.5103,r06_c01,15.999
304.7324,21.715,80.075,30.337,0.414,0.1136,1472.1915,-16.8282,-10.0428,1.3804,r06_c02,15.178
304.4186,21.715,80.085,30.2819,0.3985,0.127,1472.1915,-16.6655,-9.8312,1.2233,r06_c03,14.385
312.8639,21.715,80.095,30.4956,0.3623,0.1194,1472.1915,-16.923,-9.8859,2.0509,r06_c04,13.623
313.3082,21.715,80.105,30.7329,0.3717,0.1198,1521.8664,-17.2762,-10.2949,2.9996,r06_c05,12.899
321.236,21.715,80.115,30.6688,0.404,0.1258,1522.2547,-16.6594,-9.6539,4.4093,r06_c06,12.22
340.3746,21.715,80.125,30.5943,0.4683,0.1238,1522.2547,-16.0719,-9.2807,8.4936,r06_c07,11.593
321.4452,21.715,80.135,30.6253,0.3922,0.1146,1522.2547,-16.754,-9.7737,5.1963,r06_c08,11.027
306.263,21.715,80.145,30.8271,0.374,0.1167,1522.2547,-17.2854,-10.3817,3.0015,r06_c09,10.532
296.417,21.715,80.155,30.8553,0.383,0.1212,1520.277,-17.1507,-10.1073,1.6381,r06_c10,10.119
290.5764,21.715,80.165,30.712,0.4525,0.118,1520.1979,-15.9441,-9.0773,1.4837,r06_c11,9.798
287.3975,21.715,80.175,30.3847,0.363,0.1067,1520.1979,-16.9925,-9.7395,2.2632,r06_c12,9.578
293.3163,21.715,80.185,30.0186,0.4512,0.1188,1520.1979,-15.5283,-8.6847,1.4091,r06_c13,9.466
292.1547,21.715,80.195,29.8443,0.4413,0.1194,1520.5734,-15.8056,-8.978,1.2378,r06_c14,9.466
294.1938,21.715,80.205,29.7271,0.4039,0.132,1538.2848,-16.8027,-9.4604,1.2329,r06_c15,9.578
296.5668,21.715,80.215,29.6809,0.3772,0.16,1538.2848,-17.5244,-10.2832,0.8669,r06_c16,9.798
295.6871,21.715,80.225,29.7038,0.3791,0.1321,1538.2848,-16.9854,-9.692,1.0494,r06_c17,10.119
292.2955,21.715,80.235,29.8134,0.3926,0.1168,1538.2848,-16.616,-9.6875,1.515,r06_c18,10.532
290.3695,21.715,80.245,30.0197,0.4527,0.1084,1538.2848,-15.8196,-9.0481,1.5308,r06_c19,11.027
294.858,21.715,80.255,30.3294,0.3665,0.127,1505.2196,-17.2752,-9.8176,1.1285,r06_c20,11.593
296.7534,21.715,80.265,30.604,0.3463,0.1355,1504.9024,-18.1127,-10.7405,1.5856,r06_c21,12.22
301.7786,21.715,80.275,30.7709,0.3313,0.1329,1504.9024,-17.9455,-10.6296,1.7234,r06_c22,12.899
300.3514,21.715,80.285,30.744,0.3623,0.1318,1504.9024,-17.4772,-10.1867,1.5174,r06_c23,13.623
299.9336,21.715,80.295,30.453,0.3909,0.1264,1504.9024,-16.8557,-9.4905,1.5228,r06_c24,14.385
295.8219,21.715,80.305,30.3615,0.4097,0.1189,1529.8826,-16.5622,-9.4289,1.3826,r06_c25,15.178
297.5943,21.715,80.315,30.3764,0.4032,0.12,1530.9282,-16.6904,-9.5095,1.7866,r06_c26,15.999
296.9433,21.715,80.325,30.3991,0.3973,0.1215,1530.9282,-16.6863,-9.6531,1.6862,r06_c27,16.844
297.2783,21.715,80.335,30.3922,0.3884,0.1124,1530.9282,-16.7763,-9.7598,1.8064,r06_c28,17.708
301.2959,21.715,80.345,30.3628,0.3664,0.1188,1531.562,-16.8937,-9.5982,1.3842,r06_c29,18.589
291.3886,21.725,80.055,30.2283,0.3933,0.1367,1472.1915,-16.7755,-9.6886,1.2624,r07_c00,16.245
296.0847,21.725,80.065,30.0422,0.3881,0.1175,1472.1915,-16.8893,-9.9752,1.3805,r07_c01,15.368
298.1705,21.725,80.075,30.0473,0.3905,0.1093,1472.1915,-16.6016,-9.6575,1.3711,r07_c02,14.512
300.0433,21.725,80.085,30.0897,0.4297,0.1191,1472.1915,-16.3259,-9.5161,1.3569,r07_c03,13.679
303.557,21.725,80.095,30.1641,0.3982,0.1277,1472.1915,-16.5372,-9.7627,1.4537,r07_c04,12.876
308.1787,21.725,80.105,30.29,0.4213,0.1192,1521.8665,-16.4998,-9.7106,1.358,r07_c05,12.108
321.942,21.725,80.115,30.3039,0.4283,0.115,1522.2547,-16.5056,-9.6454,3.9612,r07_c06,11.381
321.4813,21.725,80.125,30.2478,0.4563,0.1158,1522.2547,-16.1607,-9.3327,2.526,r07_c07,10.705
318.2343,21.725,80.135,30.2173,0.4753,0.1228,1522.2547,-15.9693,-9.1626,3.5996,r07_c08,10.09
311.8336,21.725,80.145,30.3168,0.4951,0.1239,1522.2547,-15.7207,-9.0893,2.5682,r07_c09,9.547
303.3688,21.725,80.155,30.4193,0.4474,0.1229,1520.2769,-15.9062,-8.8751,2.1143,r07_c10,9.089
295.5078,21.725,80.165,30.5201,0.4091,0.1149,1520.1979,-16.3037,-9.2328,1.2386,r07_c11,8.73
291.6073,21.725,80.175,30.4439,0.3835,0.1068,1520.1979,-16.5774,-9.424,2.0182,r07_c12,8.482
289.202,21.725,80.185,30.0485,0.435,0.1097,1520.1979,-16.4007,-9.2651,2.195,r07_c13,8.356
295.2612,21.725,80.195,29.6969,0.3901,0.1517,1520.5739,-16.661,-9.6178,1.3349,r07_c14,8.356
295.4327,21.725,80.205,29.4792,0.3883,0.1394,1538.2848,-16.8117,-9.5746,1.0666,r07_c15,8.482
297.1923,21.725,80.215,29.4763,0.3773,0.1607,1538.2848,-17.4074,-10.1556,0.9863,r07_c16,8.73
296.4004,21.725,80.225,29.5754,0.4049,0.1246,1538.2848,-16.5746,-9.3141,1.126,r07_c17,9.089
295.4529,21.725,80.235,29.7167,0.4025,0.1442,1538.2848,-16.8725,-9.7628,1.1628,r07_c18,9.547
