week_start,equipment_id,equipment_type,age_years,scheduled_hours,downtime_hours,breakdown_events
2023-10-23,DRL-01,drill,6,140,63.1,1
2023-10-30,DRL-01,drill,6,140,17.4,0
2023-11-06,DRL-01,drill,6,140,19.0,0
2023-11-13,DRL-01,drill,6,140,10.8,0
2023-11-20,DRL-01,drill,6,140,4.8,0
2023-11-27,DRL-01,drill,6,140,7.4,0
2023-12-04,DRL-01,drill,6,140,18.1,0
2023-12-11,DRL-01,drill,6,140,12.1,0
2023-12-18,DRL-01,drill,6,140,11.3,0
2023-12-25,DRL-01,drill,6,140,8.0,0
2024-01-01,DRL-01,drill,6,140,8.5,0
2024-01-08,DRL-01,drill,6,140,20.9,0
2024-01-15,DRL-01,drill,6,140,17.0,0
2024-01-22,DRL-01,drill,6,140,9.9,0
2024-01-29,DRL-01,drill,6,140,14.4,0
2024-02-05,DRL-01,drill,6,140,15.5,0
2024-02-12,DRL-01,drill,6,140,66.6,1
2024-02-19,DRL-01,drill,6,140,7.9,0
2024-02-26,DRL-01,drill,6,140,16.0,0
2024-03-04,DRL-01,drill,6,140,21.1,0
2024-03-11,DRL-01,drill,6,140,28.5,0
2024-03-18,DRL-01,drill,6,140,11.2,0
2024-03-25,DRL-01,drill,6,140,11.6,0
2024-04-01,DRL-01,drill,6,140,18.8,0
2024-04-08,DRL-01,drill,6,140,7.9,0
2024-04-15,DRL-01,drill,6,140,18.3,0
2024-04-22,DRL-01,drill,6,140,33.5,0
2024-04-29,DRL-01,drill,6,140,16.8,0
2024-05-06,DRL-01,drill,6,140,3.4,0
2024-05-13,DRL-01,drill,6,140,8.7,0
2024-05-20,DRL-01,drill,6,140,10.6,0
2024-05-27,DRL-01,drill,6,140,23.3,0
2024-06-03,DRL-01,drill,6,140,12.8,0
2024-06-10,DRL-01,drill,6,140,6.2,0
2024-06-17,DRL-01,drill,6,140,19.6,0
2024-06-24,DRL-01,drill,6,140,20.0,0
2024-07-01,DRL-01,drill,6,140,16.8,0
2024-07-08,DRL-01,drill,6,140,13.2,0
2024-07-15,DRL-01,drill,6,140,42.6,0
2024-07-22,DRL-01,drill,6,140,41.4,0
2024-07-29,DRL-01,drill,6,140,42.2,0
2024-08-05,DRL-01,drill,6,140,20.1,0
2024-08-12,DRL-01,drill,6,140,21.2,0
2024-08-19,DRL-01,drill,6,140,24.1,0
2024-08-26,DRL-01,drill,6,140,12.3,0
2024-09-02,DRL-01,drill,6,140,37.9,0
2024-09-09,DRL-01,drill,6,140,18.4,0
2024-09-16,DRL-01,drill,6,140,32.8,0
2024-09-23,DRL-01,drill,6,140,16.5,0
2024-09-30,DRL-01,drill,6,140,20.4,0
2024-10-07,DRL-01,drill,6,140,15.7,0
2024-10-14,DRL-01,drill,6,140,7.2,0
2024-10-21,DRL-01,drill,6,140,30.1,0
2024-10-28,DRL-01,drill,6,140,11.1,0
2024-11-04,DRL-01,drill,6,140,7.2,0
2024-11-11,DRL-01,drill,6,140,18.8,0
2024-11-18,DRL-01,drill,6,140,13.6,0
2024-11-25,DRL-01,drill,6,140,16.5,0
2024-12-02,DRL-01,drill,6,140,14.5,0
2024-12-09,DRL-01,drill,6,140,3.7,0
2024-12-16,DRL-01,drill,6,140,8.7,0
2024-12-23,DRL-01,drill,6,140,8.6,0
2024-12-30,DRL-01,drill,6,140,21.4,0
2025-01-06,DRL-01,drill,6,140,14.6,0
2025-01-13,DRL-01,drill,6,140,17.8,0
2025-01-20,DRL-01,drill,6,140,11.6,0
2025-01-27,DRL-01,drill,6,140,17.9,0
2025-02-03,DRL-01,drill,6,140,12.9,0
2025-02-10,DRL-01,drill,6,140,12.4,0
2025-02-17,DRL-01,drill,6,140,14.9,0
2025-02-24,DRL-01,drill,6,140,14.5,0
2025-03-03,DRL-01,drill,6,140,88.3,1
2025-03-10,DRL-01,drill,6,140,8.6,0
2025-03-17,DRL-01,drill,6,140,6.0,0
2025-03-24,DRL-01,drill,6,140,16.1,0
2025-03-31,DRL-01,drill,6,140,9.1,0
2025-04-07,DRL-01,drill,6,140,40.2,1
2025-04-14,DRL-01,drill,6,140,7.8,0
2025-04-21,DRL-01,drill,6,140,36.8,0
2025-04-28,DRL-01,drill,6,140,8.5,0
2025-05-05,DRL-01,drill,6,140,4.7,0
2025-05-12,DRL-01,drill,6,140,35.3,0
2025-05-19,DRL-01,drill,6,140,7.7,0
2025-05-26,DRL-01,drill,6,140,48.8,0
2025-06-02,DRL-01,drill,6,140,12.7,0
2025-06-09,DRL-01,drill,6,140,32.4,0
2025-06-16,DRL-01,drill,6,140,13.0,0
2025-06-23,DRL-01,drill,6,140,23.2,0
2025-06-30,DRL-01,drill,6,140,18.4,0
2025-07-07,DRL-01,drill,6,140,29.4,0
2025-07-14,DRL-01,drill,6,140,29.9,0
2025-07-21,DRL-01,drill,6,140,26.4,0
2025-07-28,DRL-01,drill,6,140,21.8,0
2025-08-04,DRL-01,drill,6,140,18.5,0
2025-08-11,DRL-01,drill,6,140,21.7,0
2025-08-18,DRL-01,drill,6,140,26.0,0
2025-08-25,DRL-01,drill,6,140,41.6,0
2025-09-01,DRL-01,drill,6,140,17.2,0
2025-09-08,DRL-01,drill,6,140,23.4,0
2025-09-15,DRL-01,drill,6,140,28.3,0
2025-09-22,DRL-01,drill,6,140,27.2,0
2025-09-29,DRL-01,drill,6,140,93.6,1
2025-10-06,DRL-01,drill,6,140,11.8,0
2025-10-13,DRL-01,drill,6,140,15.8,0
2025-10-20,DRL-01,drill,6,140,11.7,0
2025-10-27,DRL-01,drill,6,140,12.1,0
2025-11-03,DRL-01,drill,6,140,27.1,0
2025-11-10,DRL-01,drill,6,140,12.0,0
2025-11-17,DRL-01,drill,6,140,16.0,0
2025-11-24,DRL-01,drill,6,140,5.0,0
2025-12-01,DRL-01,drill,6,140,30.4,0
2025-12-08,DRL-01,drill,6,140,20.9,0
2025-12-15,DRL-01,drill,6,140,13.2,0
2025-12-22,DRL-01,drill,6,140,11.4,0
2023-01-02,DRL-02,drill,11,140,22.1,0
2023-01-09,DRL-02,drill,11,140,29.0,0
2023-01-16,DRL-02,drill,11,140,23.1,0
2023-01-23,DRL-02,drill,11,140,18.9,0
2023-01-30,DRL-02,drill,11,140,16.7,0
2023-02-06,DRL-02,drill,11,140,7.8,0
2023-02-13,DRL-02,drill,11,140,35.0,0
2023-02-20,DRL-02,drill,11,140,18.1,0
2023-02-27,DRL-02,drill,11,140,16.1,0
2023-03-06,DRL-02,drill,11,140,8.4,0
2023-03-13,DRL-02,drill,11,140,18.2,0
2023-03-20,DRL-02,drill,11,140,16.5,0
2023-03-27,DRL-02,drill,11,140,35.9,0
2023-04-03,DRL-02,drill,11,140,16.9,0
2023-04-10,DRL-02,drill,11,140,16.5,0
2023-04-17,DRL-02,drill,11,140,8.5,0
2023-04-24,DRL-02,drill,11,140,11.7,0
2023-05-01,DRL-02,drill,11,140,21.2,0
2023-05-08,DRL-02,drill,11,140,5.3,0
2023-05-15,DRL-02,drill,11,140,25.8,0
2023-05-22,DRL-02,drill,11,140,26.7,0
2023-05-29,DRL-02,drill,11,140,11.5,0
2023-06-05,DRL-02,drill,11,140,19.4,0
2023-06-12,DRL-02,drill,11,140,29.1,0
2023-06-19,DRL-02,drill,11,140,17.9,0
2023-06-26,DRL-02,drill,11,140,28.7,0
2023-07-03,DRL-02,drill,11,140,24.9,0
2023-07-10,DRL-02,drill,11,140,29.6,0
2023-07-17,DRL-02,drill,11,140,23.9,0
2023-07-24,DRL-02,drill,11,140,20.1,0
2023-07-31,DRL-02,drill,11,140,36.7,0
2023-08-07,DRL-02,drill,11,140,18.4,0
2023-08-14,DRL-02,drill,11,140,17.1,0
2023-08-21,DRL-02,drill,11,140,13.6,0
2023-08-28,DRL-02,drill,11,140,19.7,0
2023-09-04,DRL-02,drill,11,140,34.0,0
2023-09-11,DRL-02,drill,11,140,28.5,0
2023-09-18,DRL-02,drill,11,140,24.5,0
2023-09-25,DRL-02,drill,11,140,22.1,0
2023-10-02,DRL-02,drill,11,140,16.2,0
2023-10-09,DRL-02,drill,11,140,36.9,0
2023-10-16,DRL-02,drill,11,140,37.4,0
2023-10-23,DRL-02,drill,11,140,35.2,0
2023-10-30,DRL-02,drill,11,140,72.3,1
2023-11-06,DRL-02,drill,11,140,59.4,0
2023-11-13,DRL-02,drill,11,140,10.7,0
2023-11-20,DRL-02,drill,11,140,13.0,0
2023-11-27,DRL-02,drill,11,140,25.1,0
2023-12-04,DRL-02,drill,11,140,51.2,1
2023-12-11,DRL-02,drill,11,140,88.4,1
2023-12-18,DRL-02,drill,11,140,9.0,0
2023-12-25,DRL-02,drill,11,140,15.4,0
2024-01-01,DRL-02,drill,11,140,59.4,1
2024-01-08,DRL-02,drill,11,140,7.7,0
2024-01-15,DRL-02,drill,11,140,11.5,0
2024-01-22,DRL-02,drill,11,140,18.3,0
2024-01-29,DRL-02,drill,11,140,22.9,0
2024-02-05,DRL-02,drill,11,140,52.3,1
2024-02-12,DRL-02,drill,11,140,16.2,0
2024-02-19,DRL-02,drill,11,140,15.4,0
2024-02-26,DRL-02,drill,11,140,18.2,0
2024-03-04,DRL-02,drill,11,140,8.7,0
2024-03-11,DRL-02,drill,11,140,9.9,0
2024-03-18,DRL-02,drill,11,140,29.8,0
2024-03-25,DRL-02,drill,11,140,3.6,0
2024-04-01,DRL-02,drill,11,140,10.0,0
2024-04-08,DRL-02,drill,11,140,15.0,0
2024-04-15,DRL-02,drill,11,140,14.9,0
2024-04-22,DRL-02,drill,11,140,11.1,0
2024-04-29,DRL-02,drill,11,140,20.2,0
2024-05-06,DRL-02,drill,11,140,19.3,0
2024-05-13,DRL-02,drill,11,140,14.8,0
2024-05-20,DRL-02,drill,11,140,11.7,0
2024-05-27,DRL-02,drill,11,140,14.3,0
2024-06-03,DRL-02,drill,11,140,16.8,0
2024-06-10,DRL-02,drill,11,140,11.4,0
2024-06-17,DRL-02,drill,11,140,27.2,0
2024-06-24,DRL-02,drill,11,140,31.7,0
2024-07-01,DRL-02,drill,11,140,41.0,0
2024-07-08,DRL-02,drill,11,140,33.6,0
2024-07-15,DRL-02,drill,11,140,24.1,0
2024-07-22,DRL-02,drill,11,140,30.8,0
2024-07-29,DRL-02,drill,11,140,29.0,0
2024-08-05,DRL-02,drill,11,140,31.5,0
2024-08-12,DRL-02,drill,11,140,25.6,0
2024-08-19,DRL-02,drill,11,140,29.3,0
2024-08-26,DRL-02,drill,11,140,32.8,0
2024-09-02,DRL-02,drill,11,140,23.7,0
2024-09-09,DRL-02,drill,11,140,18.8,0
2024-09-16,DRL-02,drill,11,140,28.9,0
2024-09-23,DRL-02,drill,11,140,57.1,1
2024-09-30,DRL-02,drill,11,140,23.4,0
2024-10-07,DRL-02,drill,11,140,19.6,0
2024-10-14,DRL-02,drill,11,140,19.9,0
2024-10-21,DRL-02,drill,11,140,19.5,0
2024-10-28,DRL-02,drill,11,140,5.5,0
2024-11-04,DRL-02,drill,11,140,20.1,0
2024-11-11,DRL-02,drill,11,140,10.7,0
2024-11-18,DRL-02,drill,11,140,45.7,1
2024-11-25,DRL-02,drill,11,140,16.0,0
2024-12-02,DRL-02,drill,11,140,33.5,0
2024-12-09,DRL-02,drill,11,140,9.0,0
2024-12-16,DRL-02,drill,11,140,16.2,0
2024-12-23,DRL-02,drill,11,140,14.4,0
2024-12-30,DRL-02,drill,11,140,24.9,0
2025-01-06,DRL-02,drill,11,140,14.0,0
2025-01-13,DRL-02,drill,11,140,18.3,0
2025-01-20,DRL-02,drill,11,140,9.0,0
2025-01-27,DRL-02,drill,11,140,26.9,0
2025-02-03,DRL-02,drill,11,140,7.1,0
2025-02-10,DRL-02,drill,11,140,20.1,0
2025-02-17,DRL-02,drill,11,140,17.8,0
2025-02-24,DRL-02,drill,11,140,19.3,0
2025-03-03,DRL-02,drill,11,140,7.0,0
2025-03-10,DRL-02,drill,11,140,13.9,0
2025-03-17,DRL-02,drill,11,140,24.5,0
2025-03-24,DRL-02,drill,11,140,96.0,1
2025-03-31,DRL-02,drill,11,140,15.0,0
2025-04-07,DRL-02,drill,11,140,23.3,0
2025-04-14,DRL-02,drill,11,140,17.4,0
2025-04-21,DRL-02,drill,11,140,51.2,1
2025-04-28,DRL-02,drill,11,140,12.9,0
2025-05-05,DRL-02,drill,11,140,16.0,0
2025-05-12,DRL-02,drill,11,140,22.2,0
2025-05-19,DRL-02,drill,11,140,66.5,1
2025-05-26,DRL-02,drill,11,140,9.0,0
2025-06-02,DRL-02,drill,11,140,12.6,0
2025-06-09,DRL-02,drill,11,140,10.2,0
2025-06-16,DRL-02,drill,11,140,55.0,1
2025-06-23,DRL-02,drill,11,140,17.0,0
2025-06-30,DRL-02,drill,11,140,25.5,0
2025-07-07,DRL-02,drill,11,140,36.6,0
2025-07-14,DRL-02,drill,11,140,13.6,0
2025-07-21,DRL-02,drill,11,140,27.4,0
2025-07-28,DRL-02,drill,11,140,34.4,0
2025-08-04,DRL-02,drill,11,140,17.6,0
2025-08-11,DRL-02,drill,11,140,66.3,1
2025-08-18,DRL-02,drill,11,140,40.5,0
2025-08-25,DRL-02,drill,11,140,30.8,0
2025-09-01,DRL-02,drill,11,140,19.3,0
2025-09-08,DRL-02,drill,11,140,32.7,0
2025-09-15,DRL-02,drill,11,140,14.4,0
2025-09-22,DRL-02,drill,11,140,15.9,0
2025-09-29,DRL-02,drill,11,140,14.8,0
2025-10-06,DRL-02,drill,11,140,12.5,0
2025-10-13,DRL-02,drill,11,140,16.8,0
2025-10-20,DRL-02,drill,11,140,7.0,0
2025-10-27,DRL-02,drill,11,140,17.2,0
2025-11-03,DRL-02,drill,11,140,16.9,0
2025-11-10,DRL-02,drill,11,140,14.6,0
2025-11-17,DRL-02,drill,11,140,12.6,0
2025-11-24,DRL-02,drill,11,140,11.3,0
2025-12-01,DRL-02,drill,11,140,9.0,0
2025-12-08,DRL-02,drill,11,140,31.2,0
2025-12-15,DRL-02,drill,11,140,14.3,0
2025-12-22,DRL-02,drill,11,140,14.0,0
2023-01-02,LDR-01,loader,4,140,21.9,0
2023-01-09,LDR-01,loader,4,140,61.7,1
2023-01-16,LDR-01,loader,4,140,10.4,0
2023-01-23,LDR-01,loader,4,140,9.4,0
2023-01-30,LDR-01,loader,4,140,6.8,0
2023-02-06,LDR-01,loader,4,140,13.1,0
2023-02-13,LDR-01,loader,4,140,7.3,0
2023-02-20,LDR-01,loader,4,140,8.8,0
2023-02-27,LDR-01,loader,4,140,7.6,0
2023-03-06,LDR-01,loader,4,140,15.5,0
2023-03-13,LDR-01,loader,4,140,11.4,0
2023-03-20,LDR-01,loader,4,140,12.3,0
2023-03-27,LDR-01,loader,4,140,5.5,0
2023-04-03,LDR-01,loader,4,140,7.9,0
2023-04-10,LDR-01,loader,4,140,12.2,0
2023-04-17,LDR-01,loader,4,140,4.0,0
2023-04-24,LDR-01,loader,4,140,10.1,0
2023-05-01,LDR-01,loader,4,140,11.1,0
2023-05-08,LDR-01,loader,4,140,5.2,0
2023-05-15,LDR-01,loader,4,140,17.6,0
2023-05-22,LDR-01,loader,4,140,13.0,0
2023-05-29,LDR-01,loader,4,140,10.6,0
2023-06-05,LDR-01,loader,4,140,7.8,0
2023-06-12,LDR-01,loader,4,140,3.9,0
2023-06-19,LDR-01,loader,4,140,19.6,0
2023-06-26,LDR-01,loader,4,140,23.4,0
2023-07-03,LDR-01,loader,4,140,17.6,0
2023-07-10,LDR-01,loader,4,140,16.7,0
2023-07-17,LDR-01,loader,4,140,26.8,0
2023-07-24,LDR-01,loader,4,140,89.6,1
2023-07-31,LDR-01,loader,4,140,17.2,0
2023-08-07,LDR-01,loader,4,140,22.2,0
2023-08-14,LDR-01,loader,4,140,10.5,0
2023-08-21,LDR-01,loader,4,140,28.0,0
2023-08-28,LDR-01,loader,4,140,13.2,0
2023-09-04,LDR-01,loader,4,140,14.6,0
2023-09-11,LDR-01,loader,4,140,22.0,0
2023-09-18,LDR-01,loader,4,140,25.6,0
2023-09-25,LDR-01,loader,4,140,25.3,0
2023-10-02,LDR-01,loader,4,140,7.4,0
2023-10-09,LDR-01,loader,4,140,7.4,0
2023-10-16,LDR-01,loader,4,140,10.9,0
2023-10-23,LDR-01,loader,4,140,18.6,0
2023-10-30,LDR-01,loader,4,140,18.2,0
2023-11-06,LDR-01,loader,4,140,22.1,0
2023-11-13,LDR-01,loader,4,140,17.8,0
2023-11-20,LDR-01,loader,4,140,6.7,0
2023-11-27,LDR-01,loader,4,140,11.5,0
2023-12-04,LDR-01,loader,4,140,19.4,0
2023-12-11,LDR-01,loader,4,140,17.5,0
2023-12-18,LDR-01,loader,4,140,9.5,0
2023-12-25,LDR-01,loader,4,140,13.7,0
2024-01-01,LDR-01,loader,4,140,8.7,0
2024-01-08,LDR-01,loader,4,140,5.0,0
2024-01-15,LDR-01,loader,4,140,10.0,0
2024-01-22,LDR-01,loader,4,140,9.8,0
2024-01-29,LDR-01,loader,4,140,8.3,0
2024-02-05,LDR-01,loader,4,140,14.0,0
2024-02-12,LDR-01,loader,4,140,10.0,0
2024-02-19,LDR-01,loader,4,140,13.4,0
2024-02-26,LDR-01,loader,4,140,16.3,0
2024-03-04,LDR-01,loader,4,140,30.8,0
2024-03-11,LDR-01,loader,4,140,11.3,0
2024-03-18,LDR-01,loader,4,140,19.7,0
2024-03-25,LDR-01,loader,4,140,66.9,1
2024-04-01,LDR-01,loader,4,140,12.3,0
2024-04-08,LDR-01,loader,4,140,12.2,0
2024-04-15,LDR-01,loader,4,140,12.9,0
2024-04-22,LDR-01,loader,4,140,9.7,0
2024-04-29,LDR-01,loader,4,140,17.1,0
2024-05-06,LDR-01,loader,4,140,7.1,0
2024-05-13,LDR-01,loader,4,140,38.8,1
2024-05-20,LDR-01,loader,4,140,8.9,0
2024-05-27,LDR-01,loader,4,140,8.1,0
2024-06-03,LDR-01,loader,4,140,8.4,0
2024-06-10,LDR-01,loader,4,140,11.3,0
2024-06-17,LDR-01,loader,4,140,11.8,0
2024-06-24,LDR-01,loader,4,140,19.9,0
2024-07-01,LDR-01,loader,4,140,16.3,0
2024-07-08,LDR-01,loader,4,140,46.5,1
2024-07-15,LDR-01,loader,4,140,36.3,0
2024-07-22,LDR-01,loader,4,140,22.4,0
2024-07-29,LDR-01,loader,4,140,23.7,0
2024-08-05,LDR-01,loader,4,140,20.1,0
2024-08-12,LDR-01,loader,4,140,34.8,0
2024-08-19,LDR-01,loader,4,140,19.1,0
2024-08-26,LDR-01,loader,4,140,20.0,0
2024-09-02,LDR-01,loader,4,140,8.7,0
2024-09-09,LDR-01,loader,4,140,22.5,0
2024-09-16,LDR-01,loader,4,140,15.1,0
2024-09-23,LDR-01,loader,4,140,13.3,0
2024-09-30,LDR-01,loader,4,140,9.1,0
2024-10-07,LDR-01,loader,4,140,5.5,0
2024-10-14,LDR-01,loader,4,140,26.3,0
2024-10-21,LDR-01,loader,4,140,11.5,0
2024-10-28,LDR-01,loader,4,140,8.0,0
2024-11-04,LDR-01,loader,4,140,10.9,0
2024-11-11,LDR-01,loader,4,140,10.5,0
2024-11-18,LDR-01,loader,4,140,4.5,0
2024-11-25,LDR-01,loader,4,140,16.7,0
2024-12-02,LDR-01,loader,4,140,9.8,0
2024-12-09,LDR-01,loader,4,140,56.0,1
2024-12-16,LDR-01,loader,4,140,21.5,0
2024-12-23,LDR-01,loader,4,140,5.3,0
2024-12-30,LDR-01,loader,4,140,7.1,0
2025-01-06,LDR-01,loader,4,140,13.0,0
2025-01-13,LDR-01,loader,4,140,17.1,0
2025-01-20,LDR-01,loader,4,140,7.7,0
2025-01-27,LDR-01,loader,4,140,7.8,0
2025-02-03,LDR-01,loader,4,140,14.9,0
2025-02-10,LDR-01,loader,4,140,29.0,0
2025-02-17,LDR-01,loader,4,140,11.0,0
2025-02-24,LDR-01,loader,4,140,7.0,0
2025-03-03,LDR-01,loader,4,140,5.9,0
2025-03-10,LDR-01,loader,4,140,10.1,0
2025-03-17,LDR-01,loader,4,140,16.6,0
2025-03-24,LDR-01,loader,4,140,35.2,0
2025-03-31,LDR-01,loader,4,140,9.0,0
2025-04-07,LDR-01,loader,4,140,11.2,0
2025-04-14,LDR-01,loader,4,140,23.5,0
2025-04-21,LDR-01,loader,4,140,12.8,0
2025-04-28,LDR-01,loader,4,140,12.2,0
2025-05-05,LDR-01,loader,4,140,21.1,0
2025-05-12,LDR-01,loader,4,140,11.3,0
2025-05-19,LDR-01,loader,4,140,6.8,0
2025-05-26,LDR-01,loader,4,140,20.5,0
2025-06-02,LDR-01,loader,4,140,5.2,0
2025-06-09,LDR-01,loader,4,140,18.6,0
2025-06-16,LDR-01,loader,4,140,11.5,0
2025-06-23,LDR-01,loader,4,140,13.3,0
2025-06-30,LDR-01,loader,4,140,19.0,0
2025-07-07,LDR-01,loader,4,140,21.1,0
2025-07-14,LDR-01,loader,4,140,24.1,0
2025-07-21,LDR-01,loader,4,140,25.2,0
2025-07-28,LDR-01,loader,4,140,20.7,0
2025-08-04,LDR-01,loader,4,140,10.2,0
2025-08-11,LDR-01,loader,4,140,15.1,0
2025-08-18,LDR-01,loader,4,140,16.8,0
2025-08-25,LDR-01,loader,4,140,19.4,0
2025-09-01,LDR-01,loader,4,140,15.0,0
2025-09-08,LDR-01,loader,4,140,21.1,0
2025-09-15,LDR-01,loader,4,140,17.9,0
2025-09-22,LDR-01,loader,4,140,25.3,0
2025-09-29,LDR-01,loader,4,140,19.4,0
2025-10-06,LDR-01,loader,4,140,19.6,0
2025-10-13,LDR-01,loader,4,140,22.0,0
2025-10-20,LDR-01,loader,4,140,9.4,0
2025-10-27,LDR-01,loader,4,140,11.1,0
2025-11-03,LDR-01,loader,4,140,13.2,0
2025-11-10,LDR-01,loader,4,140,11.1,0
2025-11-17,LDR-01,loader,4,140,9.5,0
2025-11-24,LDR-01,loader,4,140,6.6,0
2025-12-01,LDR-01,loader,4,140,11.2,0
2025-12-08,LDR-01,loader,4,140,4.5,0
2025-12-15,LDR-01,loader,4,140,2.9,0
2025-12-22,LDR-01,loader,4,140,5.6,0
2023-01-02,LDR-02,loader,9,140,24.3,0
2023-01-09,LDR-02,loader,9,140,16.8,0
2023-01-16,LDR-02,loader,9,140,10.9,0
2023-01-23,LDR-02,loader,9,140,80.1,1
2023-01-30,LDR-02,loader,9,140,15.5,0
2023-02-06,LDR-02,loader,9,140,21.8,0
2023-02-13,LDR-02,loader,9,140,2.6,0
2023-02-20,LDR-02,loader,9,140,3.0,0
2023-02-27,LDR-02,loader,9,140,13.7,0
2023-03-06,LDR-02,loader,9,140,7.5,0
2023-03-13,LDR-02,loader,9,140,16.2,0
2023-03-20,LDR-02,loader,9,140,10.4,0
2023-03-27,LDR-02,loader,9,140,40.6,0
2023-04-03,LDR-02,loader,9,140,21.7,0
2023-04-10,LDR-02,loader,9,140,25.5,0
2023-04-17,LDR-02,loader,9,140,3.3,0
2023-04-24,LDR-02,loader,9,140,20.1,0
2023-05-01,LDR-02,loader,9,140,11.8,0
2023-05-08,LDR-02,loader,9,140,25.1,0
2023-05-15,LDR-02,loader,9,140,17.5,0
2023-05-22,LDR-02,loader,9,140,12.9,0
2023-05-29,LDR-02,loader,9,140,7.4,0
2023-06-05,LDR-02,loader,9,140,14.0,0
2023-06-12,LDR-02,loader,9,140,22.1,0
2023-06-19,LDR-02,loader,9,140,28.8,0
2023-06-26,LDR-02,loader,9,140,20.4,0
2023-07-03,LDR-02,loader,9,140,55.5,0
2023-07-10,LDR-02,loader,9,140,30.0,0
2023-07-17,LDR-02,loader,9,140,16.8,0
2023-07-24,LDR-02,loader,9,140,21.9,0
2023-07-31,LDR-02,loader,9,140,35.0,0
2023-08-07,LDR-02,loader,9,140,15.7,0
2023-08-14,LDR-02,loader,9,140,21.3,0
2023-08-21,LDR-02,loader,9,140,47.7,1
2023-08-28,LDR-02,loader,9,140,14.5,0
2023-09-04,LDR-02,loader,9,140,9.5,0
2023-09-11,LDR-02,loader,9,140,81.6,1
2023-09-18,LDR-02,loader,9,140,24.1,0
2023-09-25,LDR-02,loader,9,140,25.9,0
2023-10-02,LDR-02,loader,9,140,6.7,0
2023-10-09,LDR-02,loader,9,140,4.8,0
2023-10-16,LDR-02,loader,9,140,7.5,0
2023-10-23,LDR-02,loader,9,140,9.8,0
2023-10-30,LDR-02,loader,9,140,66.6,1
2023-11-06,LDR-02,loader,9,140,9.8,0
2023-11-13,LDR-02,loader,9,140,14.4,0
2023-11-20,LDR-02,loader,9,140,7.6,0
2023-11-27,LDR-02,loader,9,140,15.1,0
2023-12-04,LDR-02,loader,9,140,4.1,0
2023-12-11,LDR-02,loader,9,140,8.5,0
2023-12-18,LDR-02,loader,9,140,65.0,1
2023-12-25,LDR-02,loader,9,140,21.2,0
2024-01-01,LDR-02,loader,9,140,8.9,0
2024-01-08,LDR-02,loader,9,140,17.3,0
2024-01-15,LDR-02,loader,9,140,3.9,0
2024-01-22,LDR-02,loader,9,140,25.6,0
2024-01-29,LDR-02,loader,9,140,13.3,0
2024-02-05,LDR-02,loader,9,140,31.9,0
2024-02-12,LDR-02,loader,9,140,12.9,0
2024-02-19,LDR-02,loader,9,140,5.3,0
2024-02-26,LDR-02,loader,9,140,7.3,0
2024-03-04,LDR-02,loader,9,140,11.5,0
2024-03-11,LDR-02,loader,9,140,7.9,0
2024-03-18,LDR-02,loader,9,140,22.2,0
2024-03-25,LDR-02,loader,9,140,13.5,0
2024-04-01,LDR-02,loader,9,140,7.2,0
2024-04-08,LDR-02,loader,9,140,19.9,0
