ds,yhat,yhat_lower,yhat_upper,actual,target,risk_score_pct,risk_level,is_anomaly
2024-01-01,21287.527423801777,19855.953557233424,22688.23980447492,21029.0,22003.0,79.7,Critical,False
2024-01-08,21413.619007656303,20007.20699393755,22889.760012711035,22038.0,22013.0,75.3,Critical,False
2024-01-15,21587.280017096335,20111.104084491162,22927.53897245785,17738.0,22023.0,69.5,High,True
2024-01-22,21740.76389782428,20396.119941772173,23241.109451391676,22468.0,22032.0,63.2,High,False
2024-01-29,21738.160627788133,20328.907344902414,23173.29793951745,21326.0,22042.0,63.7,High,False
2024-02-05,21600.063107273294,20230.296015045136,22996.15344980011,21790.0,22052.0,70.5,High,False
2024-02-12,21562.862506029163,20263.032737495345,23024.472259859267,19048.0,22061.0,72.4,High,True
2024-02-19,21834.324816194818,20395.97709501676,23224.21432983384,22853.0,22071.0,60.8,High,False
2024-02-26,22304.992682682416,20830.559853990388,23683.640237223575,21904.0,22081.0,39.8,Moderate,False
2024-03-04,22588.7376533174,21211.510757415177,24047.893988842858,22169.0,22090.0,28.1,Moderate,False
2024-03-11,22412.002010925535,20812.13572718169,23878.735254307285,21574.0,22100.0,36.9,Moderate,False
2024-03-18,21933.324024842932,20547.774609348635,23401.06509582762,21549.0,22110.0,58.1,High,False
2024-03-25,21615.014900350765,20237.96940441068,22976.497366386036,22982.0,22119.0,72.8,High,True
2024-04-01,21757.88025061919,20309.978427351147,23253.57215995472,23378.0,22129.0,66.1,High,True
2024-04-08,22198.882713915227,20863.776026586278,23580.606521564794,22382.0,22139.0,47.1,Moderate,False
2024-04-15,22498.207779453613,21209.037818639477,23919.57838985311,23128.0,22148.0,33.5,Moderate,False
2024-04-22,22400.979013885404,21029.343917887596,23821.059377807138,22659.0,22158.0,38.7,Moderate,False
2024-04-29,22069.914329736086,20670.24509901525,23583.04498207894,21925.0,22168.0,54.4,High,False
2024-05-06,21864.702906562627,20445.78972762987,23229.042402818286,22589.0,22177.0,64.4,High,False
2024-05-13,21948.24549758457,20580.128024558187,23336.33005633112,19887.0,22187.0,61.2,High,True
2024-05-20,22152.93692787637,20863.57908345983,23638.390387053,22202.0,22197.0,52.1,High,False
2024-05-27,22206.80169837064,20868.744983210607,23583.061095903864,23256.0,22206.0,50.0,Moderate,False
2024-06-03,22022.878770735973,20711.504165134742,23423.5652807448,20254.0,22216.0,59.3,High,True
2024-06-10,21740.68384525727,20384.81793201374,23122.683952998388,22585.0,22226.0,72.0,High,False
2024-06-17,21533.168419761718,20167.0341640835,22965.963039621467,21988.0,22235.0,79.5,Critical,False
2024-06-24,21438.1153827123,20004.06378790825,22865.159850258333,21632.0,22245.0,82.3,Critical,False
2024-07-01,21380.6143986666,19917.15227551414,22867.673036870434,21819.0,22255.0,83.5,Critical,False
2024-07-08,21299.087701609566,20013.46413599137,22663.270358524627,20277.0,22265.0,88.5,Critical,False
2024-07-15,21201.111165173716,19700.701519762806,22558.244069565586,21429.0,22274.0,89.2,Critical,False
2024-07-22,21117.41407454362,19695.529778727618,22469.840616957146,21750.0,22284.0,91.7,Critical,False
2024-07-29,21058.871307963393,19653.35373218466,22404.079948341085,22456.0,22294.0,93.0,Critical,True
2024-08-05,21034.912934721255,19645.985216219695,22427.738218804094,20986.0,22303.0,93.3,Critical,False
2024-08-12,21069.065517315008,19617.81718145976,22461.339642230516,20716.0,22313.0,92.5,Critical,False
2024-08-19,21152.22609900789,19816.73957238939,22562.76891762755,20873.0,22323.0,92.0,Critical,False
2024-08-26,21199.271543163664,19799.41707549351,22563.542737167118,21815.0,22332.0,91.1,Critical,False
2024-09-02,21112.723492310408,19711.024299795492,22475.769781421473,21364.0,22342.0,92.8,Critical,False
2024-09-09,20915.43219321562,19408.822416897136,22243.66306947566,20733.0,22352.0,95.2,Critical,False
2024-09-16,20777.35726227324,19309.447688232493,22085.36691329419,21444.0,22361.0,97.0,Critical,False
2024-09-23,20851.78614177452,19433.05970718869,22245.060486533137,21145.0,22371.0,96.2,Critical,False
2024-09-30,21082.07596264618,19682.271367912224,22526.519780972125,21759.0,22381.0,93.3,Critical,False
2024-10-07,21224.850034808802,19873.150439294932,22514.83159381805,20605.0,22390.0,92.7,Critical,False
2024-10-14,21106.455540214494,19742.557283578117,22397.31734173452,20894.0,22400.0,94.6,Critical,False
2024-10-21,20835.931293198017,19298.65687033532,22295.69331780629,20887.0,22410.0,95.8,Critical,False
2024-10-28,20712.639167855214,19290.559804327793,22080.401573709743,20187.0,22419.0,97.8,Critical,False
2024-11-04,20908.829704963297,19523.849407541788,22299.53958270618,21478.0,22429.0,96.4,Critical,False
2024-11-11,21280.65136958128,19894.174016104145,22604.116538501807,21523.0,22439.0,92.0,Critical,False
2024-11-18,21525.298161837276,20177.462917136534,22899.531024370557,21421.0,22448.0,86.8,Critical,False
2024-11-25,21504.303346889606,20216.535161483615,22790.343547640736,21339.0,22458.0,88.9,Critical,False
2024-12-02,21366.244229336004,19991.585864547007,22772.23486722938,20605.0,22468.0,90.4,Critical,False
2024-12-09,21348.984516986467,20016.94226083,22762.855135824844,21399.0,22477.0,91.2,Critical,False
2024-12-16,21517.457463148596,20124.322342884057,22896.30212936733,21556.0,22487.0,87.5,Critical,False
2024-12-23,21741.99240131324,20315.520679799218,23067.198846434087,21339.0,22497.0,81.7,Critical,False
2024-12-30,21901.930916621644,20498.570378288943,23157.607185563927,21894.0,22506.0,77.3,Critical,False
2025-01-06,22025.591608606363,20586.180017060946,23356.04200491601,22395.0,22516.0,72.0,High,False
2025-01-13,22192.42384634085,20709.542335291368,23622.044893661638,23538.0,22526.0,64.7,High,False
2025-01-20,22360.893342344993,20967.18773445556,23754.822424128768,22441.0,22535.0,58.1,High,False
2025-01-27,22392.167274864092,21059.71039055365,23712.7374227545,22597.0,22545.0,57.5,High,False
2025-02-03,22265.89724214873,20727.29714662062,23669.301850500346,22457.0,22555.0,62.7,High,False
2025-02-10,22190.35405936123,20854.352989127696,23633.05653023001,21252.0,22565.0,67.1,High,False
2025-02-17,22404.023456358267,21049.313279360736,23898.873504150368,22654.0,22574.0,57.8,High,False
2025-02-24,22863.406330895945,21492.459561041283,24334.473843363423,22784.0,22584.0,37.3,Moderate,False
2025-03-03,23209.84094427473,21787.531078114607,24601.197203580054,24526.0,22594.0,23.6,Moderate,False
2025-03-10,23117.466785761593,21836.21832498634,24494.670435184165,22717.0,22603.0,26.2,Moderate,False
2025-03-17,22662.2311398308,21172.726245406488,24011.03933907108,23101.0,22613.0,47.7,Moderate,False
2025-03-24,22282.219332943838,20912.538419621324,23757.039536222288,22892.0,22623.0,65.3,High,False
2025-03-31,22340.87055921011,20935.96382643883,23735.17302457928,18754.0,22632.0,63.4,High,True
2025-04-07,22758.73997970771,21368.448004964954,24224.99850660096,23736.0,22642.0,44.7,Moderate,False
2025-04-14,23112.993503051806,21747.93007649603,24539.20090897091,23455.0,22652.0,29.3,Moderate,False
2025-04-21,23086.16251747944,21693.419843137977,24558.74876622235,23463.0,22661.0,31.3,Moderate,False
2025-04-28,22770.65712206586,21379.49618726998,24260.217085511984,22243.0,22671.0,45.5,Moderate,False
2025-05-05,22521.239151697504,21199.747476930945,23925.315825639213,23821.0,22681.0,57.6,High,False
2025-05-12,22557.360628483824,21221.123673342157,23951.31664439301,21808.0,22690.0,56.3,High,False
2025-05-19,22761.898987178232,21460.994926827603,24282.783793572682,23141.0,22700.0,47.1,Moderate,False
2025-05-26,22856.808429981902,21525.94339173329,24274.60178067095,24197.0,22710.0,43.0,Moderate,False
2025-06-02,22709.867482028865,21306.419144841988,24044.72866103409,21898.0,22719.0,50.4,High,False
2025-06-09,22430.39411018878,21045.28564519221,23847.17048437243,22116.0,22729.0,63.7,High,False
2025-06-16,22202.029437663576,20763.01924367327,23515.703649481893,22500.0,22739.0,73.9,High,False
2025-06-23,22090.73465118342,20652.304079168996,23528.29262647149,21992.0,22748.0,77.4,Critical,False
2025-06-30,22032.899192669902,20763.080980520022,23457.540590596516,21173.0,22758.0,81.2,Critical,False
2025-07-07,21956.868904675724,20584.510431687817,23379.052117644813,22219.0,22768.0,83.0,Critical,False
2025-07-14,21859.339316004352,20463.727119180377,23180.585225286028,21342.0,22777.0,86.7,Critical,False
2025-07-21,21771.668974434793,20271.972876033746,23132.822404205224,22335.0,22787.0,87.9,Critical,False
2025-07-28,21708.399715813728,20286.086391483543,23056.099951281984,21281.0,22797.0,90.2,Critical,False
2025-08-04,21676.678157791863,20150.211059788977,23122.492208591106,22937.0,22806.0,89.4,Critical,False
2025-08-11,21699.24233725055,20258.09448253221,23147.95473426985,21237.0,22816.0,89.8,Critical,False
2025-08-18,21777.779105292964,20382.267650281632,23225.25402966595,21502.0,22826.0,88.7,Critical,False
2025-08-25,21839.813011680835,20476.94855189696,23224.725468199733,22247.0,22835.0,88.3,Critical,False
2025-09-01,21780.36766760557,20396.63275379398,23229.35383642793,20775.0,22845.0,89.2,Critical,False
2025-09-08,21593.432562393114,20264.428466117497,22935.378702184713,21766.0,22855.0,94.0,Critical,False
2025-09-15,21429.941693236364,20083.15794685036,22877.083964601352,22503.0,22865.0,95.4,Critical,False
2025-09-22,21463.117551686693,20006.11468577979,22847.895848812004,20455.0,22874.0,94.9,Critical,False
2025-09-29,21680.561905329338,20261.340463760047,23073.995071799734,21713.0,22884.0,92.0,Critical,False
2025-10-06,21857.72983112004,20445.523250313687,23327.624730700965,21781.0,22894.0,88.2,Critical,False
2025-10-13,21786.95490146943,20346.537082471645,23173.385910681467,22174.0,22903.0,90.3,Critical,False
2025-10-20,21523.43264259676,20159.138116489034,22998.2434854343,20799.0,22913.0,94.6,Critical,False
2025-10-27,21353.322569042393,19969.198088321806,22828.131019279997,20790.0,22923.0,96.5,Critical,False
2025-11-03,21493.97695901723,20140.425647945216,22892.62493330517,22139.0,22932.0,95.7,Critical,False
2025-11-10,21856.378729525466,20480.87488693129,23268.721233880915,22051.0,22942.0,90.0,Critical,False
2025-11-17,22142.223853678184,20628.981889507744,23520.27817243822,22096.0,22952.0,82.2,Critical,False
2025-11-24,22164.952612724588,20637.63120290769,23622.516080254634,22249.0,22961.0,81.0,Critical,False
2025-12-01,22028.80905132211,20585.0816411903,23376.395502769785,21623.0,22971.0,86.7,Critical,False
2025-12-08,21978.105745971472,20492.602173186267,23293.07150868859,22360.0,22981.0,88.1,Critical,False
2025-12-15,22119.33151675209,20685.630310387976,23509.105942341725,22504.0,22990.0,84.5,Critical,False
2025-12-22,22346.02031878904,20969.428379665664,23757.48722078179,21904.0,23000.0,78.0,Critical,False
2025-12-29,22519.741581690403,21058.74799274953,23897.688113747143,,,,,False
2026-01-05,22642.839300284148,21204.992868804293,24001.27186517272,,,,,False
2026-01-12,22800.230441587035,21368.274091391348,24147.896850623594,,,,,False
2026-01-19,22978.11987472262,21615.713434272773,24369.001612664586,,,,,False
2026-01-26,23041.79322045233,21567.922353427897,24470.226007652935,,,,,False
2026-02-02,22934.12745597596,21460.77613165706,24386.938407686448,,,,,False
2026-02-09,22828.36294042193,21372.171011778875,24304.62976280664,,,,,False
2026-02-16,22982.530312540348,21661.356723956524,24433.59377205243,,,,,False
2026-02-23,23418.14661034661,22128.74046785809,24918.53079057346,,,,,False
2026-03-02,23815.74875339213,22486.339162756463,25150.65201127249,,,,,False
2026-03-09,23810.262661120072,22448.99578624853,25260.800394808593,,,,,False
2026-03-16,23393.756942196513,21971.393937044148,24795.907599055354,,,,,False
